Settings
TF	Raw TF
IDF	Using IDF
Normalisation	No Normalisation
Stemming	No Stemming

Averages
Precision	0.22585590662332053
Recall	0.6423659673659673
Non-Interpolated Average Precision	0.276714661089219

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.05263157894736842	0.3333333333333333	0.3333333333333333
2	0.08695652173913043	1	0.3088235294117647
3	1	0.25	0.25
4	0.047619047619047616	0.5	0.5
5	0.06060606060606061	0.6666666666666666	0.13095238095238096
6	0	0	0
7	0.05555555555555555	0.5	0.09946236559139784
8	0.03125	1	0.038461538461538464
9	0.1	0.5	0.125
10	0.125	0.6	0.2593406593406593
11	0.04	0.25	0.015625
12	0.19047619047619047	0.8	0.5078787878787878
13	0.06666666666666667	0.3333333333333333	0.20370370370370372
14	0	0	0
15	0.12121212121212122	0.6666666666666666	0.20714285714285716
16	0.11538461538461539	1	0.18792270531400967
17	0.058823529411764705	1	0.09453781512605042
18	0.21428571428571427	1	0.75
19	0.14285714285714285	0.6	0.26666666666666666
20	0	0	0
21	0.8	0.8	0.6433333333333333
22	0	0	0
23	0.14285714285714285	1	0.2
24	0.6	0.6666666666666666	0.5108465608465609
25	0.3333333333333333	0.6666666666666666	0.6666666666666666
26	0	0	0
27	0.5333333333333333	0.48484848484848486	0.2688880379665
28	0	0	0
29	0	0	0
30	0.5	0.3333333333333333	0.2777777777777778
31	0	0	0
32	0.05555555555555555	1	0.14215686274509803
33	0.06451612903225806	0.5	0.0393939393939394
34	0	0	0
35	0.3333333333333333	0.25	0.16666666666666666
