Settings
TF	Raw TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	No Stemming

Averages
Precision	0.22585590662332053
Recall	0.6423659673659673
Non-Interpolated Average Precision	0.2919612978553443

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.05263157894736842	0.3333333333333333	0.3333333333333333
2	0.08695652173913043	1	0.375
3	1	0.25	0.25
4	0.047619047619047616	0.5	0.5
5	0.06060606060606061	0.6666666666666666	0.15
6	0	0	0
7	0.05555555555555555	0.5	0.11666666666666667
8	0.03125	1	0.09090909090909091
9	0.1	0.5	0.05555555555555555
10	0.125	0.6	0.2507936507936508
11	0.04	0.25	0.015625
12	0.19047619047619047	0.8	0.5032967032967033
13	0.06666666666666667	0.3333333333333333	0.03133903133903134
14	0	0	0
15	0.12121212121212122	0.6666666666666666	0.2497457411645055
16	0.11538461538461539	1	0.3162393162393162
17	0.058823529411764705	1	0.10096153846153846
18	0.21428571428571427	1	0.8333333333333334
19	0.14285714285714285	0.6	0.20121212121212123
20	0	0	0
21	0.8	0.8	0.6433333333333333
22	0	0	0
23	0.14285714285714285	1	0.25
24	0.6	0.6666666666666666	0.5805555555555555
25	0.3333333333333333	0.6666666666666666	0.6666666666666666
26	0	0	0
27	0.5333333333333333	0.48484848484848486	0.28621245991390426
28	0	0	0
29	0	0	0
30	0.5	0.3333333333333333	0.3055555555555556
31	0	0	0
32	0.05555555555555555	1	0.2159090909090909
33	0.06451612903225806	0.5	0.09375
34	0	0	0
35	0.3333333333333333	0.25	0.175
