Settings
TF	Binary TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	No Stemming

Averages
Precision	0.22585590662332053
Recall	0.6423659673659673
Non-Interpolated Average Precision	0.2996737862124487

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.05263157894736842	0.3333333333333333	0.030303030303030304
2	0.08695652173913043	1	0.3666666666666667
3	1	0.25	0.25
4	0.047619047619047616	0.5	0.25
5	0.06060606060606061	0.6666666666666666	0.17777777777777778
6	0	0	0
7	0.05555555555555555	0.5	0.07417582417582418
8	0.03125	1	0.09090909090909091
9	0.1	0.5	0.25
10	0.125	0.6	0.09136363636363636
11	0.04	0.25	0.03125
12	0.19047619047619047	0.8	0.5116883116883116
13	0.06666666666666667	0.3333333333333333	0.1923076923076923
14	0	0	0
15	0.12121212121212122	0.6666666666666666	0.15115440115440115
16	0.11538461538461539	1	0.24957264957264957
17	0.058823529411764705	1	0.09126984126984126
18	0.21428571428571427	1	1
19	0.14285714285714285	0.6	0.1511111111111111
20	0	0	0
21	0.8	0.8	0.6433333333333333
22	0	0	0
23	0.14285714285714285	1	0.25
24	0.6	0.6666666666666666	0.6388888888888888
25	0.3333333333333333	0.6666666666666666	0.5555555555555555
26	0	0	0
27	0.5333333333333333	0.48484848484848486	0.30900544526067286
28	0	0	0
29	0	0	0
30	0.5	0.3333333333333333	0.2685185185185185
31	0	0	0
32	0.05555555555555555	1	0.8333333333333333
33	0.06451612903225806	0.5	0.15833333333333333
34	0	0	0
35	0.3333333333333333	0.25	0.175
