Settings
TF	Augmented TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.17156384613883466
Recall	0.686290322580645
Non-Interpolated Average Precision	0.29500122850955773

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.07317073170731707	1	0.49298245614035086
2	0.06451612903225806	1	0.15725806451612903
3	0.6666666666666666	0.5	0.5
4	0.041666666666666664	0.5	0.1
5	0.05263157894736842	0.6666666666666666	0.39999999999999997
6	0.1	0.5	0.0625
7	0.061224489795918366	0.75	0.08277027027027027
8	0.02702702702702703	1	0.5
9	0.07692307692307693	0.5	0.041666666666666664
10	0.13793103448275862	0.8	0.21407407407407408
11	0.034482758620689655	0.25	0.010416666666666666
12	0.15625	1	0.40735760971055085
13	0.11428571428571428	0.6666666666666666	0.13754208754208755
14	0	0	0
15	0.10256410256410256	0.6666666666666666	0.241557734204793
16	0.10344827586206896	1	0.14559386973180075
17	0.05555555555555555	1	0.06787330316742082
18	0.15	1	0.8666666666666667
19	0.13793103448275862	0.8	0.20091954022988506
20	0	0	0
21	0.6666666666666666	0.8	0.6833333333333333
22	0.25	0.16666666666666666	0.16666666666666666
23	0.06666666666666667	1	0.3333333333333333
24	0.36363636363636365	0.8888888888888888	0.6647445147445148
25	0.25	0.6666666666666666	0.5555555555555555
26	0	0	0
27	0.5588235294117647	0.5757575757575758	0.4055036888535412
28	0	0	0
29	0.14285714285714285	1	0.25
30	0.36363636363636365	0.4444444444444444	0.30185185185185187
31	0.08333333333333333	0.09090909090909091	0.022727272727272728
32	0.043478260869565216	1	0.8333333333333333
33	0.06060606060606061	0.5	0.09166666666666667
34	0.0625	0.16666666666666666	0.023809523809523808
35	0.25	0.375	0.18333333333333332
