Settings
TF	Augmented TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	No Stemming

Averages
Precision	0.22585590662332053
Recall	0.6423659673659673
Non-Interpolated Average Precision	0.28066794826826935

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.05263157894736842	0.3333333333333333	0.16666666666666666
2	0.08695652173913043	1	0.5434782608695652
3	1	0.25	0.25
4	0.047619047619047616	0.5	0.25
5	0.06060606060606061	0.6666666666666666	0.17777777777777778
6	0	0	0
7	0.05555555555555555	0.5	0.10714285714285714
8	0.03125	1	0.08333333333333333
9	0.1	0.5	0.05
10	0.125	0.6	0.15833333333333333
11	0.04	0.25	0.011904761904761904
12	0.19047619047619047	0.8	0.49948717948717947
13	0.06666666666666667	0.3333333333333333	0.08888888888888889
14	0	0	0
15	0.12121212121212122	0.6666666666666666	0.14978632478632478
16	0.11538461538461539	1	0.18846153846153846
17	0.058823529411764705	1	0.09401709401709402
18	0.21428571428571427	1	0.7916666666666666
19	0.14285714285714285	0.6	0.21904761904761902
20	0	0	0
21	0.8	0.8	0.71
22	0	0	0
23	0.14285714285714285	1	0.2
24	0.6	0.6666666666666666	0.5358024691358024
25	0.3333333333333333	0.6666666666666666	0.5555555555555555
26	0	0	0
27	0.5333333333333333	0.48484848484848486	0.29843069715651366
28	0	0	0
29	0	0	0
30	0.5	0.3333333333333333	0.3055555555555556
31	0	0	0
32	0.05555555555555555	1	0.6428571428571428
33	0.06451612903225806	0.5	0.044172932330827065
34	0	0	0
35	0.3333333333333333	0.25	0.175
