Settings
TF	Logarithmic TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.17156384613883466
Recall	0.686290322580645
Non-Interpolated Average Precision	0.30770522870421274

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.07317073170731707	1	0.2922077922077922
2	0.06451612903225806	1	0.125
3	0.6666666666666666	0.5	0.5
4	0.041666666666666664	0.5	0.1
5	0.05263157894736842	0.6666666666666666	0.4444444444444444
6	0.1	0.5	0.05555555555555555
7	0.061224489795918366	0.75	0.08428683385579937
8	0.02702702702702703	1	1
9	0.07692307692307693	0.5	0.05555555555555555
10	0.13793103448275862	0.8	0.14137529137529137
11	0.034482758620689655	0.25	0.019230769230769232
12	0.15625	1	0.3833333333333333
13	0.11428571428571428	0.6666666666666666	0.10505952380952381
14	0	0	0
15	0.10256410256410256	0.6666666666666666	0.18194444444444444
16	0.10344827586206896	1	0.240831964969896
17	0.05555555555555555	1	0.08834586466165413
18	0.15	1	0.7575757575757575
19	0.13793103448275862	0.8	0.2504433497536946
20	0	0	0
21	0.6666666666666666	0.8	0.5866666666666667
22	0.25	0.16666666666666666	0.16666666666666666
23	0.06666666666666667	1	0.5
24	0.36363636363636365	0.8888888888888888	0.7324514991181658
25	0.25	0.6666666666666666	0.6666666666666666
26	0	0	0
27	0.5588235294117647	0.5757575757575758	0.3622943443464832
28	0	0	0
29	0.14285714285714285	1	0.16666666666666666
30	0.36363636363636365	0.4444444444444444	0.3012345679012346
31	0.08333333333333333	0.09090909090909091	0.01515151515151515
32	0.043478260869565216	1	0.75
33	0.06060606060606061	0.5	0.15476190476190477
34	0.0625	0.16666666666666666	0.027777777777777776
35	0.25	0.375	0.2833333333333333
