Settings
TF	Logarithmic TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.17156384613883466
Recall	0.686290322580645
Non-Interpolated Average Precision	0.2794644966718776

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.07317073170731707	1	0.41830065359477114
2	0.06451612903225806	1	0.1625
3	0.6666666666666666	0.5	0.41666666666666663
4	0.041666666666666664	0.5	0.1
5	0.05263157894736842	0.6666666666666666	0.40740740740740744
6	0.1	0.5	0.0625
7	0.061224489795918366	0.75	0.07016613644397314
8	0.02702702702702703	1	0.3333333333333333
9	0.07692307692307693	0.5	0.038461538461538464
10	0.13793103448275862	0.8	0.17350649350649353
11	0.034482758620689655	0.25	0.013157894736842105
12	0.15625	1	0.35064935064935066
13	0.11428571428571428	0.6666666666666666	0.28680555555555554
14	0	0	0
15	0.10256410256410256	0.6666666666666666	0.15544662309368193
16	0.10344827586206896	1	0.1150660933269629
17	0.05555555555555555	1	0.09126984126984126
18	0.15	1	0.75
19	0.13793103448275862	0.8	0.33904761904761904
20	0	0	0
21	0.6666666666666666	0.8	0.5866666666666667
22	0.25	0.16666666666666666	0.16666666666666666
23	0.06666666666666667	1	0.3333333333333333
24	0.36363636363636365	0.8888888888888888	0.6755731922398589
25	0.25	0.6666666666666666	0.6666666666666666
26	0	0	0
27	0.5588235294117647	0.5757575757575758	0.3631465770998891
28	0	0	0
29	0.14285714285714285	1	0.25
30	0.36363636363636365	0.4444444444444444	0.3074074074074074
31	0.08333333333333333	0.09090909090909091	0.012987012987012986
32	0.043478260869565216	1	0.6428571428571428
33	0.06060606060606061	0.5	0.0625
34	0.0625	0.16666666666666666	0.023809523809523808
35	0.25	0.375	0.2875
