Settings
TF	Binary TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.11156588536939209

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.09733120796571644
2	0.027565084226646247	0.6923076923076923	0.02672694118192137
3	0.1836734693877551	0.20454545454545456	0.06572523326475896
4	0.016129032258064516	1	0.18388182293647773
5	0.01752021563342318	0.5416666666666666	0.032707824163365234
6	0.00411522633744856	1	0.029411764705882353
7	0.007438894792773645	0.875	0.02590066160500703
8	0.02280701754385965	0.7222222222222222	0.026113539726942456
9	0.06201550387596899	0.7058823529411765	0.1831862274571963
10	0.04	0.7307692307692307	0.09500537329445306
11	0.09169054441260745	0.25196850393700787	0.02366055885712259
12	0.014534883720930232	0.7692307692307693	0.05706178450506945
13	0.10586552217453506	0.8131868131868132	0.2026811690921771
14	0.011904761904761904	0.6666666666666666	0.007977207977207978
15	0.08442982456140351	0.9390243902439024	0.21228186988700284
16	0.036619718309859155	0.5	0.018621806201410688
17	0.019067796610169493	0.34615384615384615	0.045179255758721074
18	0.02320185614849188	0.9090909090909091	0.07909632916763278
19	0.11166666666666666	0.8271604938271605	0.21335062227102694
20	0.14112903225806453	0.24305555555555555	0.04041670290128085
21	0.05527638190954774	0.44	0.019868809071544976
22	0.04608294930875576	0.18867924528301888	0.014541977158591098
23	0.05798969072164949	0.9375	0.11624000644328868
24	0.06872852233676977	0.7692307692307693	0.13297720855951828
25	0.1568627450980392	0.7272727272727273	0.22920071219582416
26	0.16165413533834586	0.7678571428571429	0.26641084282431965
27	0.259946949602122	0.8521739130434782	0.37728740893714763
28	0.09691629955947137	0.36666666666666664	0.10192138186461265
29	0.07926829268292683	0.2708333333333333	0.016095440638686873
30	0.3469387755102041	0.5074626865671642	0.23233330629809806
31	0.09246575342465753	0.4426229508196721	0.10528472498177666
32	0.09747606614447346	0.9572649572649573	0.17018443386093685
33	0.02912621359223301	0.75	0.051808047876692444
34	0.04100946372239748	0.34210526315789475	0.07070351604679677
35	0.07434944237918216	0.46511627906976744	0.053679644580400226
36	null	null	null
37	0.0397196261682243	0.85	0.09707532553369688
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.10653960134853266
40	null	null	null
41	0.010251630941286114	1	0.04149287775423728
42	0.04523809523809524	0.76	0.16124193089251423
43	0.011121408711770158	0.9230769230769231	0.0417591128407927
44	0.12624254473161034	0.8193548387096774	0.21000251141064474
45	0.07231404958677685	0.9090909090909091	0.11553713811303998
46	0.09302325581395349	1	0.25887331244907236
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.11732128375632504
50	0.10411311053984576	0.9101123595505618	0.2525424679518711
51	null	null	null
52	0.01266891891891892	1	0.37798430464132554
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.13235871161390156
55	0.021686746987951807	1	0.2250655614443063
56	0.03892493049119555	0.9333333333333333	0.08724654890769315
57	0.016666666666666666	0.8888888888888888	0.055896178340179646
58	0.03458646616541353	1	0.17445991710690234
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.025039606379500524
62	0.00980392156862745	0.9166666666666666	0.3232318362304167
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.047938947797053225
66	0.029359430604982206	0.9428571428571428	0.19073791815263103
67	0.024371667936024372	1	0.17226567946262503
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.02551044453732103
70	null	null	null
71	0.020224719101123594	1	0.19078680798990869
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.2563400423575605
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.027431756981606725
80	null	null	null
81	0.008215085884988798	1	0.06256880120507417
82	0.008517887563884156	1	0.019426720839621967
83	null	null	null
84	0.009329940627650551	1	0.020637568522029862
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.08190440207436718
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.035256435330252626
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.03428855014200666
96	0.006389776357827476	0.8888888888888888	0.013647302947357816
97	0.004866180048661801	1	0.030168678950608943
98	0.024734982332155476	0.9655172413793104	0.2167038689107288
99	0.024756189047261814	0.9705882352941176	0.11154127332868494
100	0.01228878648233487	0.8888888888888888	0.012934592144109944
101	0.000784313725490196	1	0.016666666666666666
102	0.019433198380566803	1	0.1919163422103984
103	null	null	null
104	0.009151414309484194	1	0.054824294883476864
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.2007306932198357
110	null	null	null
111	0.005123825789923143	1	0.036255908446310076
112	null	null	null
