Settings
TF	Raw TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	No Stemming

Averages
Precision	0.058633701714966686
Recall	0.7128942239142595
Non-Interpolated Average Precision	0.11867083116016894

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.06719367588932806	0.7391304347826086	0.3143077478419206
2	0.026143790849673203	0.46153846153846156	0.01942829220601996
3	0.21428571428571427	0.06818181818181818	0.04090909090909091
4	0.019886363636363636	0.875	0.07210578960625232
5	0.018808777429467086	0.5	0.022930293888281605
6	0.007142857142857143	1	0.125
7	0.011513157894736841	0.875	0.01418788027640874
8	0.017429193899782137	0.4444444444444444	0.01179660589476706
9	0.060126582278481014	0.5588235294117647	0.09616518287300527
10	0.03188405797101449	0.4230769230769231	0.022947779872219652
11	0.08710801393728224	0.1968503937007874	0.017127584036083433
12	0.020491803278688523	0.7692307692307693	0.18099298145110107
13	0.1471861471861472	0.7472527472527473	0.23605902966524067
14	0.012658227848101266	0.6666666666666666	0.008081896551724138
15	0.1004566210045662	0.8048780487804879	0.11727631270213343
16	0.038461538461538464	0.5	0.019656594607176482
17	0.018306636155606407	0.3076923076923077	0.005818823954349261
18	0.03225806451612903	0.8181818181818182	0.12574213391369643
19	0.09285714285714286	0.48148148148148145	0.08232559663537602
20	0.14655172413793102	0.2361111111111111	0.06327743584970515
21	0.05921052631578947	0.36	0.019342872821823513
22	0.05333333333333334	0.1509433962264151	0.026676615414796594
23	0.0958904109589041	0.7291666666666666	0.08759890207002942
24	0.0981012658227848	0.5961538461538461	0.06616340742188835
25	0.19491525423728814	0.696969696969697	0.2784506732552306
26	0.23387096774193547	0.5178571428571429	0.23907767712752573
27	0.2619047619047619	0.7652173913043478	0.33032510376244556
28	0.1694915254237288	0.3333333333333333	0.06790930909680233
29	0.072	0.1875	0.012594853261806954
30	0.3624161073825503	0.40298507462686567	0.27792820417365044
31	0.06976744186046512	0.09836065573770492	0.021370871941078638
32	0.0979020979020979	0.717948717948718	0.08112014608246661
33	0.027896995708154508	0.65	0.020698845997201534
34	0.03535353535353535	0.18421052631578946	0.04112815823342139
35	0.11564625850340136	0.3953488372093023	0.11605893322285817
36	null	null	null
37	0.05434782608695652	0.625	0.07436433653170568
38	null	null	null
39	0.017932489451476793	0.9444444444444444	0.07661695540688081
40	null	null	null
41	0.00938337801608579	0.6363636363636364	0.03266956567748196
42	0.04992867332382311	0.7	0.08345836957355962
43	0.01375	0.8461538461538461	0.041003070628347925
44	0.13652694610778443	0.7354838709677419	0.2227051257641482
45	0.09106239460370995	0.7012987012987013	0.13027479492124558
46	0.10453283996299723	0.9741379310344828	0.22158544525098312
47	null	null	null
48	null	null	null
49	0.030982905982905984	0.8529411764705882	0.05383308191559609
50	0.11337209302325581	0.8764044943820225	0.3923348797027393
51	null	null	null
52	0.014097744360902255	1	0.32640090828019486
53	null	null	null
54	0.07263513513513513	0.8431372549019608	0.17398592753638006
55	0.02723146747352496	1	0.441140059852639
56	0.04808877928483354	0.8666666666666667	0.07846007349124144
57	0.018541409147095178	0.8333333333333334	0.16503670541996152
58	0.03727714748784441	1	0.1976905702440596
59	null	null	null
60	null	null	null
61	0.014285714285714285	1	0.12362723950816458
62	0.013033175355450236	0.9166666666666666	0.43931814998955043
63	null	null	null
64	null	null	null
65	0.012935323383084577	1	0.15130210868690958
66	0.034518828451882845	0.9428571428571428	0.14454281710800496
67	0.027728085867620753	0.96875	0.06747629502332919
68	null	null	null
69	0.012380952380952381	0.8666666666666667	0.12499621697023468
70	null	null	null
71	0.02164862614487927	0.9629629629629629	0.2103589099284767
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.05616850551654965	0.9333333333333333	0.11765981250413925
77	null	null	null
78	null	null	null
79	0.010787486515641856	0.9090909090909091	0.041950284628448124
80	null	null	null
81	0.008532423208191127	0.9090909090909091	0.1474113393353428
82	0.009793253536452665	0.9	0.03296112457499721
83	null	null	null
84	0.009643201542912247	0.9090909090909091	0.032796079953019086
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.05023183925811438	0.9285714285714286	0.11961001116806827
91	null	null	null
92	0.030789825970548863	0.6052631578947368	0.06959107663561742
93	null	null	null
94	null	null	null
95	0.010460251046025104	0.9090909090909091	0.05686779492508048
96	0.007633587786259542	0.8888888888888888	0.02087458897176429
97	0.004930966469428008	0.8333333333333334	0.014373687932051293
98	0.029379760609358	0.9310344827586207	0.21197887659723344
99	0.029049295774647887	0.9705882352941176	0.12738549699662083
100	0.010091743119266056	0.6111111111111112	0.007379993760307481
101	0.0008741258741258741	1	0.005649717514124294
102	0.02093244529019981	0.9166666666666666	0.380073120950776
103	null	null	null
104	0.010298661174047374	0.9090909090909091	0.07507741239883509
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.056555269922879174	0.9295774647887324	0.1794072080556139
110	null	null	null
111	0.005336179295624333	0.8333333333333334	0.1221723072413879
112	null	null	null
