Settings
TF	Raw TF
IDF	Using IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.1295616798214313

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.3398934502177173
2	0.027565084226646247	0.6923076923076923	0.026100563894299433
3	0.1836734693877551	0.20454545454545456	0.106906918838737
4	0.016129032258064516	1	0.0516391944631409
5	0.01752021563342318	0.5416666666666666	0.01605030635722411
6	0.00411522633744856	1	1
7	0.007438894792773645	0.875	0.030148988847942166
8	0.02280701754385965	0.7222222222222222	0.017300419649578378
9	0.06201550387596899	0.7058823529411765	0.11011887799177203
10	0.04	0.7307692307692307	0.04073022257907243
11	0.09169054441260745	0.25196850393700787	0.021209704280534897
12	0.014534883720930232	0.7692307692307693	0.04748776849846587
13	0.10586552217453506	0.8131868131868132	0.22068018972805512
14	0.011904761904761904	0.6666666666666666	0.006204906204906205
15	0.08442982456140351	0.9390243902439024	0.12697980931774838
16	0.036619718309859155	0.5	0.018800155328476162
17	0.019067796610169493	0.34615384615384615	0.009739522649282186
18	0.02320185614849188	0.9090909090909091	0.06061376146931996
19	0.11166666666666666	0.8271604938271605	0.1840616367273192
20	0.14112903225806453	0.24305555555555555	0.054321096350565444
21	0.05527638190954774	0.44	0.04214725686686542
22	0.04608294930875576	0.18867924528301888	0.011426865452143444
23	0.05798969072164949	0.9375	0.13686766584099017
24	0.06872852233676977	0.7692307692307693	0.1653876298717374
25	0.1568627450980392	0.7272727272727273	0.3103981700960161
26	0.16165413533834586	0.7678571428571429	0.3445326888525146
27	0.259946949602122	0.8521739130434782	0.3428209196205481
28	0.09691629955947137	0.36666666666666664	0.06282590603656095
29	0.07926829268292683	0.2708333333333333	0.023810623334072894
30	0.3469387755102041	0.5074626865671642	0.32237783111823487
31	0.09246575342465753	0.4426229508196721	0.04879306113033868
32	0.09747606614447346	0.9572649572649573	0.1639865880669235
33	0.02912621359223301	0.75	0.02483221539373382
34	0.04100946372239748	0.34210526315789475	0.06832408296281908
35	0.07434944237918216	0.46511627906976744	0.05899117227277184
36	null	null	null
37	0.0397196261682243	0.85	0.0657969052313788
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.06386488049380216
40	null	null	null
41	0.010251630941286114	1	0.033436630857604975
42	0.04523809523809524	0.76	0.06510360408275036
43	0.011121408711770158	0.9230769230769231	0.03288498027229909
44	0.12624254473161034	0.8193548387096774	0.2410109091249357
45	0.07231404958677685	0.9090909090909091	0.14812762322887227
46	0.09302325581395349	1	0.1980230150171872
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.06813684715353341
50	0.10411311053984576	0.9101123595505618	0.38885248292929747
51	null	null	null
52	0.01266891891891892	1	0.10622469831397462
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.16540003795421698
55	0.021686746987951807	1	0.4405620702961816
56	0.03892493049119555	0.9333333333333333	0.1039864473661442
57	0.016666666666666666	0.8888888888888888	0.10020194835361139
58	0.03458646616541353	1	0.1452460412432636
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.038547841064461574
62	0.00980392156862745	0.9166666666666666	0.3378197542920847
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.14694784246572487
66	0.029359430604982206	0.9428571428571428	0.16817251358087543
67	0.024371667936024372	1	0.07196737642835899
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.03738763848922657
70	null	null	null
71	0.020224719101123594	1	0.13922765395806735
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.20167325064420716
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.023655465854467848
80	null	null	null
81	0.008215085884988798	1	0.049669086811054135
82	0.008517887563884156	1	0.22090988856716676
83	null	null	null
84	0.009329940627650551	1	0.04455452744359032
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.09868150225023538
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.07904391782216792
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.06529481859167578
96	0.006389776357827476	0.8888888888888888	0.01525297037670359
97	0.004866180048661801	1	0.017168663680655505
98	0.024734982332155476	0.9655172413793104	0.27928754095895403
99	0.024756189047261814	0.9705882352941176	0.14699350838323294
100	0.01228878648233487	0.8888888888888888	0.01147021471860114
101	0.000784313725490196	1	0.0051813471502590676
102	0.019433198380566803	1	0.2564903865821363
103	null	null	null
104	0.009151414309484194	1	0.05458234216030149
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.1427194348362929
110	null	null	null
111	0.005123825789923143	1	0.21061888708879595
112	null	null	null
