Settings
TF	Raw TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.14165528962408608

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.31859751535870673
2	0.027565084226646247	0.6923076923076923	0.022580462997830293
3	0.1836734693877551	0.20454545454545456	0.13746571536952665
4	0.016129032258064516	1	0.07784592547109215
5	0.01752021563342318	0.5416666666666666	0.02121453198565339
6	0.00411522633744856	1	0.07692307692307693
7	0.007438894792773645	0.875	0.011594178681822111
8	0.02280701754385965	0.7222222222222222	0.023985564180836257
9	0.06201550387596899	0.7058823529411765	0.11920832325342368
10	0.04	0.7307692307692307	0.06153488760393758
11	0.09169054441260745	0.25196850393700787	0.021513173662554265
12	0.014534883720930232	0.7692307692307693	0.14651710780113086
13	0.10586552217453506	0.8131868131868132	0.22050795118131702
14	0.011904761904761904	0.6666666666666666	0.009821650179058965
15	0.08442982456140351	0.9390243902439024	0.15147246907511358
16	0.036619718309859155	0.5	0.018560069003913746
17	0.019067796610169493	0.34615384615384615	0.009096392509679705
18	0.02320185614849188	0.9090909090909091	0.06023571455272319
19	0.11166666666666666	0.8271604938271605	0.1816893130608922
20	0.14112903225806453	0.24305555555555555	0.05013223771011317
21	0.05527638190954774	0.44	0.02232541242876575
22	0.04608294930875576	0.18867924528301888	0.0135680030981509
23	0.05798969072164949	0.9375	0.16327891206016712
24	0.06872852233676977	0.7692307692307693	0.14842897947490621
25	0.1568627450980392	0.7272727272727273	0.25161767793267276
26	0.16165413533834586	0.7678571428571429	0.37223888444929243
27	0.259946949602122	0.8521739130434782	0.3563404441095484
28	0.09691629955947137	0.36666666666666664	0.08001281879737575
29	0.07926829268292683	0.2708333333333333	0.02050024170341714
30	0.3469387755102041	0.5074626865671642	0.35355140561264164
31	0.09246575342465753	0.4426229508196721	0.06048770990948027
32	0.09747606614447346	0.9572649572649573	0.16368505536390326
33	0.02912621359223301	0.75	0.02284383174334512
34	0.04100946372239748	0.34210526315789475	0.07478727794620572
35	0.07434944237918216	0.46511627906976744	0.06123550050199611
36	null	null	null
37	0.0397196261682243	0.85	0.09864160807787767
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.10501699090948033
40	null	null	null
41	0.010251630941286114	1	0.05782193972325791
42	0.04523809523809524	0.76	0.10799231766298725
43	0.011121408711770158	0.9230769230769231	0.07646866075309455
44	0.12624254473161034	0.8193548387096774	0.2521557107721993
45	0.07231404958677685	0.9090909090909091	0.17214807426299192
46	0.09302325581395349	1	0.22721566081310188
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.06991994948773808
50	0.10411311053984576	0.9101123595505618	0.41111612645961226
51	null	null	null
52	0.01266891891891892	1	0.31398909193670943
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.17705812979130858
55	0.021686746987951807	1	0.4569109464200543
56	0.03892493049119555	0.9333333333333333	0.10199478769338452
57	0.016666666666666666	0.8888888888888888	0.12762084125818976
58	0.03458646616541353	1	0.19657746165115242
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.1257337903172429
62	0.00980392156862745	0.9166666666666666	0.40118537954276445
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.18770701858452746
66	0.029359430604982206	0.9428571428571428	0.28184326741014326
67	0.024371667936024372	1	0.09019957232651692
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.06838951563677825
70	null	null	null
71	0.020224719101123594	1	0.16463762647768043
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.2779518187827794
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.02788021328502477
80	null	null	null
81	0.008215085884988798	1	0.15595555773786038
82	0.008517887563884156	1	0.27412187256952986
83	null	null	null
84	0.009329940627650551	1	0.039410683786355934
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.09284419445083601
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.09796230346150206
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.061335813190709326
96	0.006389776357827476	0.8888888888888888	0.010343994494020282
97	0.004866180048661801	1	0.035036435579484076
98	0.024734982332155476	0.9655172413793104	0.33214862204354795
99	0.024756189047261814	0.9705882352941176	0.2337791190942485
100	0.01228878648233487	0.8888888888888888	0.011966774056860792
101	0.000784313725490196	1	0.011627906976744186
102	0.019433198380566803	1	0.35556768078412326
103	null	null	null
104	0.009151414309484194	1	0.05157031155982897
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.14369082836861344
110	null	null	null
111	0.005123825789923143	1	0.3748649975454099
112	null	null	null
