Settings
TF	Raw TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	No Stemming

Averages
Precision	0.058633701714966686
Recall	0.7128942239142595
Non-Interpolated Average Precision	0.11756777754484149

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.06719367588932806	0.7391304347826086	0.28091444204115995
2	0.026143790849673203	0.46153846153846156	0.017167702967549617
3	0.21428571428571427	0.06818181818181818	0.04090909090909091
4	0.019886363636363636	0.875	0.07453778091010684
5	0.018808777429467086	0.5	0.02310839787915642
6	0.007142857142857143	1	0.045454545454545456
7	0.011513157894736841	0.875	0.014314238798916353
8	0.017429193899782137	0.4444444444444444	0.011826924824583055
9	0.060126582278481014	0.5588235294117647	0.10077846814838108
10	0.03188405797101449	0.4230769230769231	0.028650036191867904
11	0.08710801393728224	0.1968503937007874	0.01722494895279029
12	0.020491803278688523	0.7692307692307693	0.21241516647557931
13	0.1471861471861472	0.7472527472527473	0.2318957538816418
14	0.012658227848101266	0.6666666666666666	0.011346548188653452
15	0.1004566210045662	0.8048780487804879	0.11958968161552996
16	0.038461538461538464	0.5	0.019750583232855858
17	0.018306636155606407	0.3076923076923077	0.005904672074056974
18	0.03225806451612903	0.8181818181818182	0.12025184653079567
19	0.09285714285714286	0.48148148148148145	0.08337979249631938
20	0.14655172413793102	0.2361111111111111	0.054816632979381705
21	0.05921052631578947	0.36	0.01948042856286418
22	0.05333333333333334	0.1509433962264151	0.026627433548849378
23	0.0958904109589041	0.7291666666666666	0.10783265914981095
24	0.0981012658227848	0.5961538461538461	0.06683205212633307
25	0.19491525423728814	0.696969696969697	0.2711483363248699
26	0.23387096774193547	0.5178571428571429	0.2410497602997068
27	0.2619047619047619	0.7652173913043478	0.33073266530611783
28	0.1694915254237288	0.3333333333333333	0.08164839079591095
29	0.072	0.1875	0.015137952329549594
30	0.3624161073825503	0.40298507462686567	0.2711116727249035
31	0.06976744186046512	0.09836065573770492	0.021352955610343175
32	0.0979020979020979	0.717948717948718	0.08167338154959601
33	0.027896995708154508	0.65	0.021150857034940043
34	0.03535353535353535	0.18421052631578946	0.041527305509650614
35	0.11564625850340136	0.3953488372093023	0.11038914641307482
36	null	null	null
37	0.05434782608695652	0.625	0.0738676575940469
38	null	null	null
39	0.017932489451476793	0.9444444444444444	0.08643784361123846
40	null	null	null
41	0.00938337801608579	0.6363636363636364	0.06595434203194418
42	0.04992867332382311	0.7	0.0854918571875516
43	0.01375	0.8461538461538461	0.06314915422316002
44	0.13652694610778443	0.7354838709677419	0.21808050620369615
45	0.09106239460370995	0.7012987012987013	0.1337421553903695
46	0.10453283996299723	0.9741379310344828	0.2256704384485028
47	null	null	null
48	null	null	null
49	0.030982905982905984	0.8529411764705882	0.05470822136775399
50	0.11337209302325581	0.8764044943820225	0.39167844009863
51	null	null	null
52	0.014097744360902255	1	0.3139532384500719
53	null	null	null
54	0.07263513513513513	0.8431372549019608	0.17223560695286283
55	0.02723146747352496	1	0.4313049250189589
56	0.04808877928483354	0.8666666666666667	0.07669745011045455
57	0.018541409147095178	0.8333333333333334	0.16338445963678305
58	0.03727714748784441	1	0.19769689733302886
59	null	null	null
60	null	null	null
61	0.014285714285714285	1	0.12427968561964428
62	0.013033175355450236	0.9166666666666666	0.43939665947873885
63	null	null	null
64	null	null	null
65	0.012935323383084577	1	0.11976382747147712
66	0.034518828451882845	0.9428571428571428	0.14734983818266098
67	0.027728085867620753	0.96875	0.06967879565849926
68	null	null	null
69	0.012380952380952381	0.8666666666666667	0.12397090057875197
70	null	null	null
71	0.02164862614487927	0.9629629629629629	0.2039940245621388
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.05616850551654965	0.9333333333333333	0.11859551917756096
77	null	null	null
78	null	null	null
79	0.010787486515641856	0.9090909090909091	0.04466743737542969
80	null	null	null
81	0.008532423208191127	0.9090909090909091	0.1332188920419011
82	0.009793253536452665	0.9	0.033939652494103335
83	null	null	null
84	0.009643201542912247	0.9090909090909091	0.032884758722842994
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.05023183925811438	0.9285714285714286	0.11494847009133508
91	null	null	null
92	0.030789825970548863	0.6052631578947368	0.07031838075709892
93	null	null	null
94	null	null	null
95	0.010460251046025104	0.9090909090909091	0.05981668688305504
96	0.007633587786259542	0.8888888888888888	0.020534095395784657
97	0.004930966469428008	0.8333333333333334	0.013728999754575292
98	0.029379760609358	0.9310344827586207	0.21680743286199416
99	0.029049295774647887	0.9705882352941176	0.12219917263279105
100	0.010091743119266056	0.6111111111111112	0.007530411124360766
101	0.0008741258741258741	1	0.005813953488372093
102	0.02093244529019981	0.9166666666666666	0.38099058025202853
103	null	null	null
104	0.010298661174047374	0.9090909090909091	0.07526622414260241
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.056555269922879174	0.9295774647887324	0.18522033954984382
110	null	null	null
111	0.005336179295624333	0.8333333333333334	0.0942509096118251
112	null	null	null
