Settings
TF	Raw TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.12789225497540935

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.3060590690103408
2	0.027565084226646247	0.6923076923076923	0.03077684124583385
3	0.1836734693877551	0.20454545454545456	0.106906918838737
4	0.016129032258064516	1	0.0559290463582147
5	0.01752021563342318	0.5416666666666666	0.01605030635722411
6	0.00411522633744856	1	1
7	0.007438894792773645	0.875	0.02641375271214066
8	0.02280701754385965	0.7222222222222222	0.016877139226297952
9	0.06201550387596899	0.7058823529411765	0.06236130098502451
10	0.04	0.7307692307692307	0.040784509977130574
11	0.09169054441260745	0.25196850393700787	0.021209704280534897
12	0.014534883720930232	0.7692307692307693	0.04748776849846587
13	0.10586552217453506	0.8131868131868132	0.21674838540803965
14	0.011904761904761904	0.6666666666666666	0.010299848882526047
15	0.08442982456140351	0.9390243902439024	0.1263299061680059
16	0.036619718309859155	0.5	0.018800155328476162
17	0.019067796610169493	0.34615384615384615	0.009739522649282186
18	0.02320185614849188	0.9090909090909091	0.045919915288037634
19	0.11166666666666666	0.8271604938271605	0.1840616367273192
20	0.14112903225806453	0.24305555555555555	0.047903207032705036
21	0.05527638190954774	0.44	0.04214725686686542
22	0.04608294930875576	0.18867924528301888	0.01084759332948015
23	0.05798969072164949	0.9375	0.1497837130507709
24	0.06872852233676977	0.7692307692307693	0.1653876298717374
25	0.1568627450980392	0.7272727272727273	0.2928135362888646
26	0.16165413533834586	0.7678571428571429	0.33459659869232145
27	0.259946949602122	0.8521739130434782	0.3428209196205481
28	0.09691629955947137	0.36666666666666664	0.07446289263528312
29	0.07926829268292683	0.2708333333333333	0.02778484560830018
30	0.3469387755102041	0.5074626865671642	0.32035445078666075
31	0.09246575342465753	0.4426229508196721	0.04879306113033868
32	0.09747606614447346	0.9572649572649573	0.17020951310339388
33	0.02912621359223301	0.75	0.024995775245954654
34	0.04100946372239748	0.34210526315789475	0.06832408296281908
35	0.07434944237918216	0.46511627906976744	0.05843014992667967
36	null	null	null
37	0.0397196261682243	0.85	0.06624455811877458
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.06432518270868066
40	null	null	null
41	0.010251630941286114	1	0.06633187824153641
42	0.04523809523809524	0.76	0.06735933004275092
43	0.011121408711770158	0.9230769230769231	0.0395606297574698
44	0.12624254473161034	0.8193548387096774	0.23454880715884124
45	0.07231404958677685	0.9090909090909091	0.1555305764479496
46	0.09302325581395349	1	0.2027089111041485
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.06834960435974606
50	0.10411311053984576	0.9101123595505618	0.3869036797741036
51	null	null	null
52	0.01266891891891892	1	0.10329281385768657
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.16413402449495657
55	0.021686746987951807	1	0.4175392485962467
56	0.03892493049119555	0.9333333333333333	0.1051648935886503
57	0.016666666666666666	0.8888888888888888	0.09276609222489635
58	0.03458646616541353	1	0.14791214175578588
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.037404120932477136
62	0.00980392156862745	0.9166666666666666	0.32217273663898455
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.14437547631048095
66	0.029359430604982206	0.9428571428571428	0.1680996999225155
67	0.024371667936024372	1	0.07416908548150684
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.037455604194065094
70	null	null	null
71	0.020224719101123594	1	0.13703383711986994
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.2015236439923012
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.023651999488032305
80	null	null	null
81	0.008215085884988798	1	0.04921824898326397
82	0.008517887563884156	1	0.21559767052757334
83	null	null	null
84	0.009329940627650551	1	0.042608038479597765
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.09413776851157024
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.07779736698423241
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.065898289101902
96	0.006389776357827476	0.8888888888888888	0.014373581168778772
97	0.004866180048661801	1	0.016315347428926836
98	0.024734982332155476	0.9655172413793104	0.2642510104197392
99	0.024756189047261814	0.9705882352941176	0.14015133537824093
100	0.01228878648233487	0.8888888888888888	0.012133256805106614
101	0.000784313725490196	1	0.004672897196261682
102	0.019433198380566803	1	0.2518364024346375
103	null	null	null
104	0.009151414309484194	1	0.05701158087202964
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.15369462474930173
110	null	null	null
111	0.005123825789923143	1	0.20914442868313496
112	null	null	null
