Settings
TF	Augmented TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.13217278371774593

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.1935851020917378
2	0.027565084226646247	0.6923076923076923	0.025795890906387287
3	0.1836734693877551	0.20454545454545456	0.09201675849403122
4	0.016129032258064516	1	0.09732141859266738
5	0.01752021563342318	0.5416666666666666	0.031030356581691666
6	0.00411522633744856	1	0.045454545454545456
7	0.007438894792773645	0.875	0.02342549692525565
8	0.02280701754385965	0.7222222222222222	0.02578498662365103
9	0.06201550387596899	0.7058823529411765	0.18947979942772566
10	0.04	0.7307692307692307	0.09249983544766459
11	0.09169054441260745	0.25196850393700787	0.023096164349313223
12	0.014534883720930232	0.7692307692307693	0.0677620246416135
13	0.10586552217453506	0.8131868131868132	0.2208031902706694
14	0.011904761904761904	0.6666666666666666	0.0076049382716049385
15	0.08442982456140351	0.9390243902439024	0.2069405906781861
16	0.036619718309859155	0.5	0.018205802340382115
17	0.019067796610169493	0.34615384615384615	0.044210395823624744
18	0.02320185614849188	0.9090909090909091	0.0873022135583522
19	0.11166666666666666	0.8271604938271605	0.22119156366817735
20	0.14112903225806453	0.24305555555555555	0.04826428766375045
21	0.05527638190954774	0.44	0.020041914274408146
22	0.04608294930875576	0.18867924528301888	0.016140902679328818
23	0.05798969072164949	0.9375	0.13711271274081097
24	0.06872852233676977	0.7692307692307693	0.1447620331554756
25	0.1568627450980392	0.7272727272727273	0.25568884449188345
26	0.16165413533834586	0.7678571428571429	0.34976183938090255
27	0.259946949602122	0.8521739130434782	0.3944388920303154
28	0.09691629955947137	0.36666666666666664	0.11117233260888512
29	0.07926829268292683	0.2708333333333333	0.015733817609312056
30	0.3469387755102041	0.5074626865671642	0.33801029173034725
31	0.09246575342465753	0.4426229508196721	0.08859225807276576
32	0.09747606614447346	0.9572649572649573	0.16994482045778597
33	0.02912621359223301	0.75	0.030450046319001833
34	0.04100946372239748	0.34210526315789475	0.08110468317423451
35	0.07434944237918216	0.46511627906976744	0.062154468585626406
36	null	null	null
37	0.0397196261682243	0.85	0.09507577210650012
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.11118317641458228
40	null	null	null
41	0.010251630941286114	1	0.03447801078052593
42	0.04523809523809524	0.76	0.16579368568648942
43	0.011121408711770158	0.9230769230769231	0.04487328695840432
44	0.12624254473161034	0.8193548387096774	0.23854537751309446
45	0.07231404958677685	0.9090909090909091	0.1534642266884683
46	0.09302325581395349	1	0.2953799176265961
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.11718276470315193
50	0.10411311053984576	0.9101123595505618	0.3071435082478079
51	null	null	null
52	0.01266891891891892	1	0.4341111100483924
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.1639706495781504
55	0.021686746987951807	1	0.42061266412501475
56	0.03892493049119555	0.9333333333333333	0.09189207802824878
57	0.016666666666666666	0.8888888888888888	0.08610535450807866
58	0.03458646616541353	1	0.2171785324432969
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.028268636817002077
62	0.00980392156862745	0.9166666666666666	0.41190673891314183
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.09098155519478197
66	0.029359430604982206	0.9428571428571428	0.25437959279820654
67	0.024371667936024372	1	0.1763684842751178
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.04960977102319461
70	null	null	null
71	0.020224719101123594	1	0.23755733633727402
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.3319115816565389
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.029549548371323796
80	null	null	null
81	0.008215085884988798	1	0.0708499273473115
82	0.008517887563884156	1	0.060038694063361084
83	null	null	null
84	0.009329940627650551	1	0.026558905325736015
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.09042227582435644
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.043417718587922205
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.05656730934860798
96	0.006389776357827476	0.8888888888888888	0.013022596540870564
97	0.004866180048661801	1	0.03638505193124393
98	0.024734982332155476	0.9655172413793104	0.30012709149538447
99	0.024756189047261814	0.9705882352941176	0.15659738377088095
100	0.01228878648233487	0.8888888888888888	0.011947967044101726
101	0.000784313725490196	1	0.022727272727272728
102	0.019433198380566803	1	0.2584447829580488
103	null	null	null
104	0.009151414309484194	1	0.05436955862750623
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.2112286183950858
110	null	null	null
111	0.005123825789923143	1	0.06801782859549724
112	null	null	null
