Settings
TF	Augmented TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	No Stemming

Averages
Precision	0.058633701714966686
Recall	0.7128942239142595
Non-Interpolated Average Precision	0.1165969948086381

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.06719367588932806	0.7391304347826086	0.21166935705672452
2	0.026143790849673203	0.46153846153846156	0.021793834174871463
3	0.21428571428571427	0.06818181818181818	0.029545454545454545
4	0.019886363636363636	0.875	0.2680824984575221
5	0.018808777429467086	0.5	0.0379847885247922
6	0.007142857142857143	1	0.034482758620689655
7	0.011513157894736841	0.875	0.025236472125178263
8	0.017429193899782137	0.4444444444444444	0.014022138408830494
9	0.060126582278481014	0.5588235294117647	0.1317401861392258
10	0.03188405797101449	0.4230769230769231	0.03118556008477208
11	0.08710801393728224	0.1968503937007874	0.02262686679199304
12	0.020491803278688523	0.7692307692307693	0.12702713530615511
13	0.1471861471861472	0.7472527472527473	0.20856779696426886
14	0.012658227848101266	0.6666666666666666	0.008088154269972453
15	0.1004566210045662	0.8048780487804879	0.12400568065331899
16	0.038461538461538464	0.5	0.021101715526608597
17	0.018306636155606407	0.3076923076923077	0.01318152611638201
18	0.03225806451612903	0.8181818181818182	0.15904763196134664
19	0.09285714285714286	0.48148148148148145	0.09333609442702097
20	0.14655172413793102	0.2361111111111111	0.0492304153550904
21	0.05921052631578947	0.36	0.018405944937067976
22	0.05333333333333334	0.1509433962264151	0.013370339718953116
23	0.0958904109589041	0.7291666666666666	0.11107550450185429
24	0.0981012658227848	0.5961538461538461	0.08926379425703947
25	0.19491525423728814	0.696969696969697	0.2589415037243399
26	0.23387096774193547	0.5178571428571429	0.24490579946643282
27	0.2619047619047619	0.7652173913043478	0.3645006349573743
28	0.1694915254237288	0.3333333333333333	0.09798896532662785
29	0.072	0.1875	0.011521620173751738
30	0.3624161073825503	0.40298507462686567	0.2809468592763692
31	0.06976744186046512	0.09836065573770492	0.030158698573961217
32	0.0979020979020979	0.717948717948718	0.08545538076744086
33	0.027896995708154508	0.65	0.02263381002567152
34	0.03535353535353535	0.18421052631578946	0.054661508941694706
35	0.11564625850340136	0.3953488372093023	0.09224525960636039
36	null	null	null
37	0.05434782608695652	0.625	0.053594293244011895
38	null	null	null
39	0.017932489451476793	0.9444444444444444	0.0968889865920638
40	null	null	null
41	0.00938337801608579	0.6363636363636364	0.021173633238436466
42	0.04992867332382311	0.7	0.1554308255477003
43	0.01375	0.8461538461538461	0.03523861206245413
44	0.13652694610778443	0.7354838709677419	0.21772954628203123
45	0.09106239460370995	0.7012987012987013	0.15448452870044532
46	0.10453283996299723	0.9741379310344828	0.26014542826968323
47	null	null	null
48	null	null	null
49	0.030982905982905984	0.8529411764705882	0.08984954732940958
50	0.11337209302325581	0.8764044943820225	0.32247404751864833
51	null	null	null
52	0.014097744360902255	1	0.42284828691767834
53	null	null	null
54	0.07263513513513513	0.8431372549019608	0.1465379498850631
55	0.02723146747352496	1	0.3894305525659761
56	0.04808877928483354	0.8666666666666667	0.07396973184839707
57	0.018541409147095178	0.8333333333333334	0.11268814381379719
58	0.03727714748784441	1	0.23198875449693598
59	null	null	null
60	null	null	null
61	0.014285714285714285	1	0.05061903259481349
62	0.013033175355450236	0.9166666666666666	0.5069631283815007
63	null	null	null
64	null	null	null
65	0.012935323383084577	1	0.05973657199944227
66	0.034518828451882845	0.9428571428571428	0.16841657221355721
67	0.027728085867620753	0.96875	0.10028215385261893
68	null	null	null
69	0.012380952380952381	0.8666666666666667	0.07432585314919016
70	null	null	null
71	0.02164862614487927	0.9629629629629629	0.1736895965692849
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.05616850551654965	0.9333333333333333	0.18808389839282225
77	null	null	null
78	null	null	null
79	0.010787486515641856	0.9090909090909091	0.02963908367372797
80	null	null	null
81	0.008532423208191127	0.9090909090909091	0.04017681737228873
82	0.009793253536452665	0.9	0.01696672351447618
83	null	null	null
84	0.009643201542912247	0.9090909090909091	0.03100354206053335
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.05023183925811438	0.9285714285714286	0.090236574174281
91	null	null	null
92	0.030789825970548863	0.6052631578947368	0.03772694128736171
93	null	null	null
94	null	null	null
95	0.010460251046025104	0.9090909090909091	0.057078714738147414
96	0.007633587786259542	0.8888888888888888	0.025257309812392468
97	0.004930966469428008	0.8333333333333334	0.018194797877069017
98	0.029379760609358	0.9310344827586207	0.21467254199264588
99	0.029049295774647887	0.9705882352941176	0.11746959854540374
100	0.010091743119266056	0.6111111111111112	0.008749442855555336
101	0.0008741258741258741	1	0.011494252873563218
102	0.02093244529019981	0.9166666666666666	0.2911471242314652
103	null	null	null
104	0.010298661174047374	0.9090909090909091	0.08198023700257394
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.056555269922879174	0.9295774647887324	0.21956900949581648
110	null	null	null
111	0.005336179295624333	0.8333333333333334	0.055387528718076555
112	null	null	null
