Settings
TF	Augmented TF
IDF	Using IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.13402709637524837

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.2082507875924683
2	0.027565084226646247	0.6923076923076923	0.02390760075232669
3	0.1836734693877551	0.20454545454545456	0.11959550865800866
4	0.016129032258064516	1	0.10173954968945087
5	0.01752021563342318	0.5416666666666666	0.0279472994333753
6	0.00411522633744856	1	0.5
7	0.007438894792773645	0.875	0.030373951963898582
8	0.02280701754385965	0.7222222222222222	0.02394994231089019
9	0.06201550387596899	0.7058823529411765	0.19276488022630636
10	0.04	0.7307692307692307	0.04632369803243852
11	0.09169054441260745	0.25196850393700787	0.030207236117597708
12	0.014534883720930232	0.7692307692307693	0.04334260470486255
13	0.10586552217453506	0.8131868131868132	0.21121242236489332
14	0.011904761904761904	0.6666666666666666	0.006833333333333334
15	0.08442982456140351	0.9390243902439024	0.24245162045904184
16	0.036619718309859155	0.5	0.023664522348934545
17	0.019067796610169493	0.34615384615384615	0.027623306657032335
18	0.02320185614849188	0.9090909090909091	0.07679539953365504
19	0.11166666666666666	0.8271604938271605	0.22112568152140605
20	0.14112903225806453	0.24305555555555555	0.04932915367416501
21	0.05527638190954774	0.44	0.06169527980364088
22	0.04608294930875576	0.18867924528301888	0.014780892152936488
23	0.05798969072164949	0.9375	0.16463953385284819
24	0.06872852233676977	0.7692307692307693	0.18022316983058187
25	0.1568627450980392	0.7272727272727273	0.33128235614096146
26	0.16165413533834586	0.7678571428571429	0.3652035895363137
27	0.259946949602122	0.8521739130434782	0.3660736754809715
28	0.09691629955947137	0.36666666666666664	0.12454231619995244
29	0.07926829268292683	0.2708333333333333	0.01566541536627761
30	0.3469387755102041	0.5074626865671642	0.3238748054812959
31	0.09246575342465753	0.4426229508196721	0.07251054189682388
32	0.09747606614447346	0.9572649572649573	0.19165819215379407
33	0.02912621359223301	0.75	0.07745948201957306
34	0.04100946372239748	0.34210526315789475	0.09453533197502226
35	0.07434944237918216	0.46511627906976744	0.08273664812261476
36	null	null	null
37	0.0397196261682243	0.85	0.12198412823615667
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.11290930538396829
40	null	null	null
41	0.010251630941286114	1	0.06361293302363075
42	0.04523809523809524	0.76	0.17115915613821378
43	0.011121408711770158	0.9230769230769231	0.03560344506104494
44	0.12624254473161034	0.8193548387096774	0.2309904152556947
45	0.07231404958677685	0.9090909090909091	0.15898880287820538
46	0.09302325581395349	1	0.2656306052028815
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.13265731629123922
50	0.10411311053984576	0.9101123595505618	0.33981815056890935
51	null	null	null
52	0.01266891891891892	1	0.32305508588239323
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.17006539114309865
55	0.021686746987951807	1	0.4004495173039825
56	0.03892493049119555	0.9333333333333333	0.1245989529049081
57	0.016666666666666666	0.8888888888888888	0.15644091447263847
58	0.03458646616541353	1	0.20946793360223168
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.025064858640188068
62	0.00980392156862745	0.9166666666666666	0.24167426486409113
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.08271063318415285
66	0.029359430604982206	0.9428571428571428	0.20028435073541445
67	0.024371667936024372	1	0.09659717382557602
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.05894947452310047
70	null	null	null
71	0.020224719101123594	1	0.1701843380247243
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.28038383362396285
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.031843007727231504
80	null	null	null
81	0.008215085884988798	1	0.04018389836012101
82	0.008517887563884156	1	0.05519263846029269
83	null	null	null
84	0.009329940627650551	1	0.02518053131272927
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.07990315340042262
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.050452444113442275
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.02779955857904637
96	0.006389776357827476	0.8888888888888888	0.012059207870459098
97	0.004866180048661801	1	0.01723538799693237
98	0.024734982332155476	0.9655172413793104	0.2819509331525233
99	0.024756189047261814	0.9705882352941176	0.19329186026552492
100	0.01228878648233487	0.8888888888888888	0.013006719798992155
101	0.000784313725490196	1	0.006666666666666667
102	0.019433198380566803	1	0.26585134531923565
103	null	null	null
104	0.009151414309484194	1	0.042125857832932344
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.1460584182462292
110	null	null	null
111	0.005123825789923143	1	0.04965698525799724
112	null	null	null
