Settings
TF	Augmented TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.12988141098026357

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.16041369730033078
2	0.027565084226646247	0.6923076923076923	0.023659044811655393
3	0.1836734693877551	0.20454545454545456	0.0920147946793715
4	0.016129032258064516	1	0.08199457126475733
5	0.01752021563342318	0.5416666666666666	0.031334182869923566
6	0.00411522633744856	1	0.04
7	0.007438894792773645	0.875	0.02224652003300323
8	0.02280701754385965	0.7222222222222222	0.02573031391842222
9	0.06201550387596899	0.7058823529411765	0.17511712277639255
10	0.04	0.7307692307692307	0.07713344294402084
11	0.09169054441260745	0.25196850393700787	0.023385384082849126
12	0.014534883720930232	0.7692307692307693	0.06705170520904911
13	0.10586552217453506	0.8131868131868132	0.20339842372667025
14	0.011904761904761904	0.6666666666666666	0.010704269858198048
15	0.08442982456140351	0.9390243902439024	0.2021514300510633
16	0.036619718309859155	0.5	0.018940812015263778
17	0.019067796610169493	0.34615384615384615	0.044273868988144525
18	0.02320185614849188	0.9090909090909091	0.0702838542767977
19	0.11166666666666666	0.8271604938271605	0.22573815823503543
20	0.14112903225806453	0.24305555555555555	0.04526732951759013
21	0.05527638190954774	0.44	0.019917548134683563
22	0.04608294930875576	0.18867924528301888	0.012359530787417401
23	0.05798969072164949	0.9375	0.15814703442225778
24	0.06872852233676977	0.7692307692307693	0.14899162836892355
25	0.1568627450980392	0.7272727272727273	0.23971726640334237
26	0.16165413533834586	0.7678571428571429	0.34153889517015446
27	0.259946949602122	0.8521739130434782	0.391184021215621
28	0.09691629955947137	0.36666666666666664	0.13148379600391832
29	0.07926829268292683	0.2708333333333333	0.018789662852858272
30	0.3469387755102041	0.5074626865671642	0.31167546500269144
31	0.09246575342465753	0.4426229508196721	0.08824132754461035
32	0.09747606614447346	0.9572649572649573	0.18554408949977247
33	0.02912621359223301	0.75	0.030421084513099966
34	0.04100946372239748	0.34210526315789475	0.08108942407281122
35	0.07434944237918216	0.46511627906976744	0.07354311503601063
36	null	null	null
37	0.0397196261682243	0.85	0.09754174196260516
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.1087247231635133
40	null	null	null
41	0.010251630941286114	1	0.1198155927010215
42	0.04523809523809524	0.76	0.1594698483197176
43	0.011121408711770158	0.9230769230769231	0.05872168365748966
44	0.12624254473161034	0.8193548387096774	0.21459461938999747
45	0.07231404958677685	0.9090909090909091	0.16137856922855948
46	0.09302325581395349	1	0.3225879772903224
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.12054843111350344
50	0.10411311053984576	0.9101123595505618	0.30418289027615875
51	null	null	null
52	0.01266891891891892	1	0.4073255392558721
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.1602349472396598
55	0.021686746987951807	1	0.35499698617677616
56	0.03892493049119555	0.9333333333333333	0.09759845927996395
57	0.016666666666666666	0.8888888888888888	0.0945092450374928
58	0.03458646616541353	1	0.20384176296012993
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.0282668322183668
62	0.00980392156862745	0.9166666666666666	0.3772680158069861
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.0953814485887594
66	0.029359430604982206	0.9428571428571428	0.25060611919986436
67	0.024371667936024372	1	0.18103280313430006
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.043189778509226694
70	null	null	null
71	0.020224719101123594	1	0.24061302380908198
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.3337190575310226
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.03282620585283741
80	null	null	null
81	0.008215085884988798	1	0.07014239648418945
82	0.008517887563884156	1	0.04107745574841141
83	null	null	null
84	0.009329940627650551	1	0.026329985117563716
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.0956660077062624
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.04200729624571627
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.05375178157752753
96	0.006389776357827476	0.8888888888888888	0.01156505531092508
97	0.004866180048661801	1	0.03906369131087543
98	0.024734982332155476	0.9655172413793104	0.29252956681458125
99	0.024756189047261814	0.9705882352941176	0.14243715872613702
100	0.01228878648233487	0.8888888888888888	0.011994683465439358
101	0.000784313725490196	1	0.02127659574468085
102	0.019433198380566803	1	0.26035919296111326
103	null	null	null
104	0.009151414309484194	1	0.056508756568991465
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.1996631948060905
110	null	null	null
111	0.005123825789923143	1	0.06415529862158767
112	null	null	null
