Settings
TF	Augmented TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.1269021237442596

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.1755088094321147
2	0.027565084226646247	0.6923076923076923	0.022624418430063745
3	0.1836734693877551	0.20454545454545456	0.11959550865800866
4	0.016129032258064516	1	0.079935879255768
5	0.01752021563342318	0.5416666666666666	0.02723805063406122
6	0.00411522633744856	1	0.25
7	0.007438894792773645	0.875	0.026916427554960373
8	0.02280701754385965	0.7222222222222222	0.023264244999176623
9	0.06201550387596899	0.7058823529411765	0.1811670914926511
10	0.04	0.7307692307692307	0.05301432014987291
11	0.09169054441260745	0.25196850393700787	0.029879152128096394
12	0.014534883720930232	0.7692307692307693	0.04322605458831244
13	0.10586552217453506	0.8131868131868132	0.19290684121115032
14	0.011904761904761904	0.6666666666666666	0.008235294117647058
15	0.08442982456140351	0.9390243902439024	0.22792642706721283
16	0.036619718309859155	0.5	0.023664522348934545
17	0.019067796610169493	0.34615384615384615	0.027623306657032335
18	0.02320185614849188	0.9090909090909091	0.06656990482719295
19	0.11166666666666666	0.8271604938271605	0.22149909486957695
20	0.14112903225806453	0.24305555555555555	0.044706733545497576
21	0.05527638190954774	0.44	0.06169527980364088
22	0.04608294930875576	0.18867924528301888	0.011552389988354141
23	0.05798969072164949	0.9375	0.1708886086089555
24	0.06872852233676977	0.7692307692307693	0.1828470476689906
25	0.1568627450980392	0.7272727272727273	0.2986230351840762
26	0.16165413533834586	0.7678571428571429	0.37776716926351145
27	0.259946949602122	0.8521739130434782	0.366190415686221
28	0.09691629955947137	0.36666666666666664	0.1518667832346335
29	0.07926829268292683	0.2708333333333333	0.019035307381566623
30	0.3469387755102041	0.5074626865671642	0.2870149020644459
31	0.09246575342465753	0.4426229508196721	0.07251054189682388
32	0.09747606614447346	0.9572649572649573	0.20024649419956647
33	0.02912621359223301	0.75	0.07624464601711697
34	0.04100946372239748	0.34210526315789475	0.09453533197502226
35	0.07434944237918216	0.46511627906976744	0.08737018314781886
36	null	null	null
37	0.0397196261682243	0.85	0.12163133279857519
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.11167271742695213
40	null	null	null
41	0.010251630941286114	1	0.1401961041704604
42	0.04523809523809524	0.76	0.17327921614311687
43	0.011121408711770158	0.9230769230769231	0.04644503669543232
44	0.12624254473161034	0.8193548387096774	0.2093845380585962
45	0.07231404958677685	0.9090909090909091	0.16769909985864107
46	0.09302325581395349	1	0.28582195818034667
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.13757407715406011
50	0.10411311053984576	0.9101123595505618	0.32686574220094045
51	null	null	null
52	0.01266891891891892	1	0.323692305752515
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.16522585033971687
55	0.021686746987951807	1	0.34984793333521297
56	0.03892493049119555	0.9333333333333333	0.123241412262841
57	0.016666666666666666	0.8888888888888888	0.16559813535510026
58	0.03458646616541353	1	0.21043216765869854
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.02425978636987438
62	0.00980392156862745	0.9166666666666666	0.14960714862125987
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.07608102738284546
66	0.029359430604982206	0.9428571428571428	0.17994417857213943
67	0.024371667936024372	1	0.10701896552074196
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.05948348045541409
70	null	null	null
71	0.020224719101123594	1	0.1602902011553373
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.25663654831771937
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.032654197027268524
80	null	null	null
81	0.008215085884988798	1	0.04094894567532099
82	0.008517887563884156	1	0.03689595208504256
83	null	null	null
84	0.009329940627650551	1	0.024734740864878726
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.0854577823965394
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.04794162520141819
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.025016566116105723
96	0.006389776357827476	0.8888888888888888	0.010308607093712098
97	0.004866180048661801	1	0.016672204672273032
98	0.024734982332155476	0.9655172413793104	0.2739548654488279
99	0.024756189047261814	0.9705882352941176	0.17418934663485564
100	0.01228878648233487	0.8888888888888888	0.013587007364659748
101	0.000784313725490196	1	0.005952380952380952
102	0.019433198380566803	1	0.24739580374077516
103	null	null	null
104	0.009151414309484194	1	0.042426822784326045
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.14408521744924582
110	null	null	null
111	0.005123825789923143	1	0.046520157181485146
112	null	null	null
