Settings
TF	Augmented TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	No Stemming

Averages
Precision	0.058633701714966686
Recall	0.7128942239142595
Non-Interpolated Average Precision	0.11645171025145924

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.06719367588932806	0.7391304347826086	0.20286433542653598
2	0.026143790849673203	0.46153846153846156	0.014579147612401592
3	0.21428571428571427	0.06818181818181818	0.028925619834710745
4	0.019886363636363636	0.875	0.16099573772572642
5	0.018808777429467086	0.5	0.028070308535820817
6	0.007142857142857143	1	0.5
7	0.011513157894736841	0.875	0.039040967300367144
8	0.017429193899782137	0.4444444444444444	0.017511349155073283
9	0.060126582278481014	0.5588235294117647	0.15365078400816512
10	0.03188405797101449	0.4230769230769231	0.04756229107211891
11	0.08710801393728224	0.1968503937007874	0.026732564933408226
12	0.020491803278688523	0.7692307692307693	0.08170861504470878
13	0.1471861471861472	0.7472527472527473	0.20450514420874222
14	0.012658227848101266	0.6666666666666666	0.010018408382894363
15	0.1004566210045662	0.8048780487804879	0.14329788608563374
16	0.038461538461538464	0.5	0.03416330550445163
17	0.018306636155606407	0.3076923076923077	0.014231146896984934
18	0.03225806451612903	0.8181818181818182	0.11698471111598963
19	0.09285714285714286	0.48148148148148145	0.10038145192405167
20	0.14655172413793102	0.2361111111111111	0.0411908542643004
21	0.05921052631578947	0.36	0.06225579111455953
22	0.05333333333333334	0.1509433962264151	0.010755119395740451
23	0.0958904109589041	0.7291666666666666	0.1226586399107037
24	0.0981012658227848	0.5961538461538461	0.09010092003880493
25	0.19491525423728814	0.696969696969697	0.2887541193951002
26	0.23387096774193547	0.5178571428571429	0.20906674583739293
27	0.2619047619047619	0.7652173913043478	0.3478082115882978
28	0.1694915254237288	0.3333333333333333	0.10458592288609407
29	0.072	0.1875	0.014723370493226013
30	0.3624161073825503	0.40298507462686567	0.25162826060606774
31	0.06976744186046512	0.09836065573770492	0.025344569958137896
32	0.0979020979020979	0.717948717948718	0.10204125783631138
33	0.027896995708154508	0.65	0.027064222639291924
34	0.03535353535353535	0.18421052631578946	0.04418529517857694
35	0.11564625850340136	0.3953488372093023	0.12259228659808714
36	null	null	null
37	0.05434782608695652	0.625	0.060912635424674136
38	null	null	null
39	0.017932489451476793	0.9444444444444444	0.1225188899537453
40	null	null	null
41	0.00938337801608579	0.6363636363636364	0.04564734247082651
42	0.04992867332382311	0.7	0.13975567174899148
43	0.01375	0.8461538461538461	0.03973370641768936
44	0.13652694610778443	0.7354838709677419	0.19911857670027155
45	0.09106239460370995	0.7012987012987013	0.16054541315064
46	0.10453283996299723	0.9741379310344828	0.25976645429911166
47	null	null	null
48	null	null	null
49	0.030982905982905984	0.8529411764705882	0.1181910379485165
50	0.11337209302325581	0.8764044943820225	0.34859140759046775
51	null	null	null
52	0.014097744360902255	1	0.2908919152673622
53	null	null	null
54	0.07263513513513513	0.8431372549019608	0.1592070291236167
55	0.02723146747352496	1	0.3247624738310482
56	0.04808877928483354	0.8666666666666667	0.10641526525090611
57	0.018541409147095178	0.8333333333333334	0.1962404776057024
58	0.03727714748784441	1	0.23050735568011582
59	null	null	null
60	null	null	null
61	0.014285714285714285	1	0.038529346553607006
62	0.013033175355450236	0.9166666666666666	0.23980405186899248
63	null	null	null
64	null	null	null
65	0.012935323383084577	1	0.05557688274640546
66	0.034518828451882845	0.9428571428571428	0.16998413384640282
67	0.027728085867620753	0.96875	0.08056332194999269
68	null	null	null
69	0.012380952380952381	0.8666666666666667	0.09521227383622947
70	null	null	null
71	0.02164862614487927	0.9629629629629629	0.14901367674264157
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.05616850551654965	0.9333333333333333	0.1629229608923783
77	null	null	null
78	null	null	null
79	0.010787486515641856	0.9090909090909091	0.03009066457769546
80	null	null	null
81	0.008532423208191127	0.9090909090909091	0.031089276412116843
82	0.009793253536452665	0.9	0.018552559284629726
83	null	null	null
84	0.009643201542912247	0.9090909090909091	0.026910954826526622
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.05023183925811438	0.9285714285714286	0.09588547828176135
91	null	null	null
92	0.030789825970548863	0.6052631578947368	0.04056636187675884
93	null	null	null
94	null	null	null
95	0.010460251046025104	0.9090909090909091	0.03595114901541828
96	0.007633587786259542	0.8888888888888888	0.019660156715482636
97	0.004930966469428008	0.8333333333333334	0.013373857372656487
98	0.029379760609358	0.9310344827586207	0.2504076455709459
99	0.029049295774647887	0.9705882352941176	0.13101139548623134
100	0.010091743119266056	0.6111111111111112	0.010238264508088759
101	0.0008741258741258741	1	0.006329113924050633
102	0.02093244529019981	0.9166666666666666	0.27346625060592594
103	null	null	null
104	0.010298661174047374	0.9090909090909091	0.07693166856528044
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.056555269922879174	0.9295774647887324	0.16336260141294162
110	null	null	null
111	0.005336179295624333	0.8333333333333334	0.04211091726557922
112	null	null	null
