Settings
TF	Logarithmic TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.14823194360501285

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.333594315739624
2	0.027565084226646247	0.6923076923076923	0.027180649407353378
3	0.1836734693877551	0.20454545454545456	0.12275390080414005
4	0.016129032258064516	1	0.07610675410801059
5	0.01752021563342318	0.5416666666666666	0.02652560490388843
6	0.00411522633744856	1	0.14285714285714285
7	0.007438894792773645	0.875	0.01944139244828396
8	0.02280701754385965	0.7222222222222222	0.02550491946294767
9	0.06201550387596899	0.7058823529411765	0.17470291545539898
10	0.04	0.7307692307692307	0.06778536722210568
11	0.09169054441260745	0.25196850393700787	0.022005832860903
12	0.014534883720930232	0.7692307692307693	0.079282346461931
13	0.10586552217453506	0.8131868131868132	0.23452506403119544
14	0.011904761904761904	0.6666666666666666	0.007213608957795004
15	0.08442982456140351	0.9390243902439024	0.18857835339970103
16	0.036619718309859155	0.5	0.019426867429182534
17	0.019067796610169493	0.34615384615384615	0.024611745122179046
18	0.02320185614849188	0.9090909090909091	0.08581565606952381
19	0.11166666666666666	0.8271604938271605	0.2001348508984669
20	0.14112903225806453	0.24305555555555555	0.05170908719515717
21	0.05527638190954774	0.44	0.02353356950662274
22	0.04608294930875576	0.18867924528301888	0.016613434294970447
23	0.05798969072164949	0.9375	0.1593501438547736
24	0.06872852233676977	0.7692307692307693	0.15935140973952236
25	0.1568627450980392	0.7272727272727273	0.2562111527019569
26	0.16165413533834586	0.7678571428571429	0.3639818239381295
27	0.259946949602122	0.8521739130434782	0.3677541179758538
28	0.09691629955947137	0.36666666666666664	0.10401483221532871
29	0.07926829268292683	0.2708333333333333	0.016321945900922098
30	0.3469387755102041	0.5074626865671642	0.3524247905642783
31	0.09246575342465753	0.4426229508196721	0.07570149753180239
32	0.09747606614447346	0.9572649572649573	0.17625636210301
33	0.02912621359223301	0.75	0.02572323202164059
34	0.04100946372239748	0.34210526315789475	0.07274771278090186
35	0.07434944237918216	0.46511627906976744	0.06851879950412204
36	null	null	null
37	0.0397196261682243	0.85	0.09164193521622212
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.1194242050935818
40	null	null	null
41	0.010251630941286114	1	0.03221082580719409
42	0.04523809523809524	0.76	0.15068211168458398
43	0.011121408711770158	0.9230769230769231	0.03902164522083898
44	0.12624254473161034	0.8193548387096774	0.2569984416073775
45	0.07231404958677685	0.9090909090909091	0.171274937412838
46	0.09302325581395349	1	0.292970342718737
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.08947613962342398
50	0.10411311053984576	0.9101123595505618	0.3619757272436895
51	null	null	null
52	0.01266891891891892	1	0.39932913523473096
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.1797810341915696
55	0.021686746987951807	1	0.48994643817057426
56	0.03892493049119555	0.9333333333333333	0.11009775336271156
57	0.016666666666666666	0.8888888888888888	0.12385653078601264
58	0.03458646616541353	1	0.2700290780380716
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.034903126038119986
62	0.00980392156862745	0.9166666666666666	0.5056521106697164
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.1995814937543532
66	0.029359430604982206	0.9428571428571428	0.3140936339966454
67	0.024371667936024372	1	0.13463762955855255
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.08462458544243374
70	null	null	null
71	0.020224719101123594	1	0.2732794980974229
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.37114909148773734
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.02832558643145644
80	null	null	null
81	0.008215085884988798	1	0.07782893044300838
82	0.008517887563884156	1	0.14218349347811382
83	null	null	null
84	0.009329940627650551	1	0.032640121530875504
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.1422221855589765
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.056853251839604664
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.08056335448256817
96	0.006389776357827476	0.8888888888888888	0.011471551199900716
97	0.004866180048661801	1	0.03451572934885823
98	0.024734982332155476	0.9655172413793104	0.3089910460179092
99	0.024756189047261814	0.9705882352941176	0.2049590223830563
100	0.01228878648233487	0.8888888888888888	0.012078629510981135
101	0.000784313725490196	1	0.03125
102	0.019433198380566803	1	0.4134887515477607
103	null	null	null
104	0.009151414309484194	1	0.040230000576907926
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.193575390249632
110	null	null	null
111	0.005123825789923143	1	0.1895520194554617
112	null	null	null
