Settings
TF	Logarithmic TF
IDF	Using IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.14053661813813037

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.32896645549959297
2	0.027565084226646247	0.6923076923076923	0.026788417354737876
3	0.1836734693877551	0.20454545454545456	0.106906918838737
4	0.016129032258064516	1	0.05055141101426618
5	0.01752021563342318	0.5416666666666666	0.01948820981754953
6	0.00411522633744856	1	1
7	0.007438894792773645	0.875	0.05977524389562151
8	0.02280701754385965	0.7222222222222222	0.019455419838789803
9	0.06201550387596899	0.7058823529411765	0.11774980824567033
10	0.04	0.7307692307692307	0.04591072486531264
11	0.09169054441260745	0.25196850393700787	0.023512466237517328
12	0.014534883720930232	0.7692307692307693	0.051589093287702406
13	0.10586552217453506	0.8131868131868132	0.2292524517887493
14	0.011904761904761904	0.6666666666666666	0.006262626262626262
15	0.08442982456140351	0.9390243902439024	0.19129202613291701
16	0.036619718309859155	0.5	0.02194925754692454
17	0.019067796610169493	0.34615384615384615	0.017529111384102247
18	0.02320185614849188	0.9090909090909091	0.0617824775773381
19	0.11166666666666666	0.8271604938271605	0.2166371095594667
20	0.14112903225806453	0.24305555555555555	0.04871738685350059
21	0.05527638190954774	0.44	0.06881392353353209
22	0.04608294930875576	0.18867924528301888	0.01135602911238546
23	0.05798969072164949	0.9375	0.16668421400283043
24	0.06872852233676977	0.7692307692307693	0.17402307395999073
25	0.1568627450980392	0.7272727272727273	0.31035308731689926
26	0.16165413533834586	0.7678571428571429	0.3615573560696209
27	0.259946949602122	0.8521739130434782	0.34814340337686434
28	0.09691629955947137	0.36666666666666664	0.08667957674167046
29	0.07926829268292683	0.2708333333333333	0.016509311827181464
30	0.3469387755102041	0.5074626865671642	0.31003360929058427
31	0.09246575342465753	0.4426229508196721	0.05766528489495488
32	0.09747606614447346	0.9572649572649573	0.1846559108329869
33	0.02912621359223301	0.75	0.03525097128517919
34	0.04100946372239748	0.34210526315789475	0.08738539810117092
35	0.07434944237918216	0.46511627906976744	0.06519126373186533
36	null	null	null
37	0.0397196261682243	0.85	0.08249122866056871
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.08773069485210935
40	null	null	null
41	0.010251630941286114	1	0.04095105273106399
42	0.04523809523809524	0.76	0.10005497670754054
43	0.011121408711770158	0.9230769230769231	0.02966210431946316
44	0.12624254473161034	0.8193548387096774	0.23936827982073183
45	0.07231404958677685	0.9090909090909091	0.18114692386508988
46	0.09302325581395349	1	0.25195063032596715
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.1151696804669653
50	0.10411311053984576	0.9101123595505618	0.3655915352323904
51	null	null	null
52	0.01266891891891892	1	0.2227727165862768
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.18751037831490794
55	0.021686746987951807	1	0.4892994350282687
56	0.03892493049119555	0.9333333333333333	0.15749071521134098
57	0.016666666666666666	0.8888888888888888	0.12357679813529211
58	0.03458646616541353	1	0.21058917434614915
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.03081920346628534
62	0.00980392156862745	0.9166666666666666	0.43334287066592275
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.15830878074458712
66	0.029359430604982206	0.9428571428571428	0.2116857522148932
67	0.024371667936024372	1	0.09056007788822525
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.04770217154749411
70	null	null	null
71	0.020224719101123594	1	0.17510734367899491
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.2939574633787379
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.02690020801868098
80	null	null	null
81	0.008215085884988798	1	0.03712639523124022
82	0.008517887563884156	1	0.09180012122076503
83	null	null	null
84	0.009329940627650551	1	0.03419624519469826
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.09612227898983
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.06690351701471722
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.051743063998715845
96	0.006389776357827476	0.8888888888888888	0.013133146399678764
97	0.004866180048661801	1	0.01595480258629927
98	0.024734982332155476	0.9655172413793104	0.24021262137199711
99	0.024756189047261814	0.9705882352941176	0.16315017857879366
100	0.01228878648233487	0.8888888888888888	0.016958579462979236
101	0.000784313725490196	1	0.006802721088435374
102	0.019433198380566803	1	0.27224983475414044
103	null	null	null
104	0.009151414309484194	1	0.0381531882783383
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.15504837271348906
110	null	null	null
111	0.005123825789923143	1	0.09906868532700558
112	null	null	null
