Settings
TF	Logarithmic TF
IDF	Using IDF
Normalisation	No Normalisation
Stemming	No Stemming

Averages
Precision	0.058633701714966686
Recall	0.7128942239142595
Non-Interpolated Average Precision	0.12254166403453497

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.06719367588932806	0.7391304347826086	0.2854756285729804
2	0.026143790849673203	0.46153846153846156	0.02103258194619571
3	0.21428571428571427	0.06818181818181818	0.0349025974025974
4	0.019886363636363636	0.875	0.07079177263428289
5	0.018808777429467086	0.5	0.018663425902118957
6	0.007142857142857143	1	1
7	0.011513157894736841	0.875	0.060544632658048915
8	0.017429193899782137	0.4444444444444444	0.010175458605095368
9	0.060126582278481014	0.5588235294117647	0.09313432267975014
10	0.03188405797101449	0.4230769230769231	0.025266710250546068
11	0.08710801393728224	0.1968503937007874	0.01848607966482076
12	0.020491803278688523	0.7692307692307693	0.09338369671798558
13	0.1471861471861472	0.7472527472527473	0.21975217234637512
14	0.012658227848101266	0.6666666666666666	0.006525756525756526
15	0.1004566210045662	0.8048780487804879	0.1373817457267836
16	0.038461538461538464	0.5	0.024438981029531084
17	0.018306636155606407	0.3076923076923077	0.008272204247468164
18	0.03225806451612903	0.8181818181818182	0.10394274505699949
19	0.09285714285714286	0.48148148148148145	0.10819938978457994
20	0.14655172413793102	0.2361111111111111	0.04968537064544151
21	0.05921052631578947	0.36	0.0621043088416961
22	0.05333333333333334	0.1509433962264151	0.010112668679546544
23	0.0958904109589041	0.7291666666666666	0.09878140365363935
24	0.0981012658227848	0.5961538461538461	0.08887904759056506
25	0.19491525423728814	0.696969696969697	0.34521471606951437
26	0.23387096774193547	0.5178571428571429	0.2169065964004643
27	0.2619047619047619	0.7652173913043478	0.31988673287099945
28	0.1694915254237288	0.3333333333333333	0.06545828157498818
29	0.072	0.1875	0.014640360912903114
30	0.3624161073825503	0.40298507462686567	0.2681429070346947
31	0.06976744186046512	0.09836065573770492	0.013854761000545543
32	0.0979020979020979	0.717948717948718	0.10637648575160132
33	0.027896995708154508	0.65	0.02886584655388903
34	0.03535353535353535	0.18421052631578946	0.04300993032727999
35	0.11564625850340136	0.3953488372093023	0.10609782283559442
36	null	null	null
37	0.05434782608695652	0.625	0.06131218258402932
38	null	null	null
39	0.017932489451476793	0.9444444444444444	0.09530851503408279
40	null	null	null
41	0.00938337801608579	0.6363636363636364	0.034270098231866004
42	0.04992867332382311	0.7	0.09255654364790081
43	0.01375	0.8461538461538461	0.022955622958093162
44	0.13652694610778443	0.7354838709677419	0.21966709615138152
45	0.09106239460370995	0.7012987012987013	0.15722316144242685
46	0.10453283996299723	0.9741379310344828	0.22848172190184773
47	null	null	null
48	null	null	null
49	0.030982905982905984	0.8529411764705882	0.07200895409660496
50	0.11337209302325581	0.8764044943820225	0.353998295227025
51	null	null	null
52	0.014097744360902255	1	0.22451985127008722
53	null	null	null
54	0.07263513513513513	0.8431372549019608	0.1743169662998063
55	0.02723146747352496	1	0.4678770351901604
56	0.04808877928483354	0.8666666666666667	0.11853930277262212
57	0.018541409147095178	0.8333333333333334	0.16683865080889
58	0.03727714748784441	1	0.17173138275869163
59	null	null	null
60	null	null	null
61	0.014285714285714285	1	0.039475458961936466
62	0.013033175355450236	0.9166666666666666	0.3495699285147622
63	null	null	null
64	null	null	null
65	0.012935323383084577	1	0.09415477975298063
66	0.034518828451882845	0.9428571428571428	0.17832998136578543
67	0.027728085867620753	0.96875	0.07578029888306705
68	null	null	null
69	0.012380952380952381	0.8666666666666667	0.10258907005264999
70	null	null	null
71	0.02164862614487927	0.9629629629629629	0.14325761244884133
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.05616850551654965	0.9333333333333333	0.16932614365439308
77	null	null	null
78	null	null	null
79	0.010787486515641856	0.9090909090909091	0.02991663198132628
80	null	null	null
81	0.008532423208191127	0.9090909090909091	0.033636369436851304
82	0.009793253536452665	0.9	0.027283983249500644
83	null	null	null
84	0.009643201542912247	0.9090909090909091	0.03453892725784528
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.05023183925811438	0.9285714285714286	0.10509400820852742
91	null	null	null
92	0.030789825970548863	0.6052631578947368	0.05534942562119583
93	null	null	null
94	null	null	null
95	0.010460251046025104	0.9090909090909091	0.06126910531558515
96	0.007633587786259542	0.8888888888888888	0.023114864258685117
97	0.004930966469428008	0.8333333333333334	0.009533873379303575
98	0.029379760609358	0.9310344827586207	0.24270181401116817
99	0.029049295774647887	0.9705882352941176	0.13299585867968358
100	0.010091743119266056	0.6111111111111112	0.011206770616419203
101	0.0008741258741258741	1	0.0045045045045045045
102	0.02093244529019981	0.9166666666666666	0.2786880394451684
103	null	null	null
104	0.010298661174047374	0.9090909090909091	0.051659415284830784
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.056555269922879174	0.9295774647887324	0.17465905881175917
110	null	null	null
111	0.005336179295624333	0.8333333333333334	0.044538020057092974
112	null	null	null
