Settings
TF	Logarithmic TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.14348030349437224

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.24633819811661214
2	0.027565084226646247	0.6923076923076923	0.023566248295117834
3	0.1836734693877551	0.20454545454545456	0.11984014789038712
4	0.016129032258064516	1	0.06929137257887953
5	0.01752021563342318	0.5416666666666666	0.027616603255724483
6	0.00411522633744856	1	0.06666666666666667
7	0.007438894792773645	0.875	0.0182693743463662
8	0.02280701754385965	0.7222222222222222	0.025516937978619633
9	0.06201550387596899	0.7058823529411765	0.14537055175668742
10	0.04	0.7307692307692307	0.07800493277447125
11	0.09169054441260745	0.25196850393700787	0.02221544559491063
12	0.014534883720930232	0.7692307692307693	0.08340636661895003
13	0.10586552217453506	0.8131868131868132	0.22179345229399183
14	0.011904761904761904	0.6666666666666666	0.009536610343061956
15	0.08442982456140351	0.9390243902439024	0.18804865386966474
16	0.036619718309859155	0.5	0.019567113738330446
17	0.019067796610169493	0.34615384615384615	0.024649261162035602
18	0.02320185614849188	0.9090909090909091	0.060710187606425554
19	0.11166666666666666	0.8271604938271605	0.2032795842751143
20	0.14112903225806453	0.24305555555555555	0.046807457762156696
21	0.05527638190954774	0.44	0.023171712114331014
22	0.04608294930875576	0.18867924528301888	0.012048365338416443
23	0.05798969072164949	0.9375	0.18056909760959916
24	0.06872852233676977	0.7692307692307693	0.16308296783071308
25	0.1568627450980392	0.7272727272727273	0.24426692316087012
26	0.16165413533834586	0.7678571428571429	0.3699235389864427
27	0.259946949602122	0.8521739130434782	0.3664256285245237
28	0.09691629955947137	0.36666666666666664	0.11275223723692392
29	0.07926829268292683	0.2708333333333333	0.020887775485364777
30	0.3469387755102041	0.5074626865671642	0.3485057900745928
31	0.09246575342465753	0.4426229508196721	0.07333965655050462
32	0.09747606614447346	0.9572649572649573	0.18507724373544412
33	0.02912621359223301	0.75	0.025845825004135625
34	0.04100946372239748	0.34210526315789475	0.07421430793322238
35	0.07434944237918216	0.46511627906976744	0.08150043212620153
36	null	null	null
37	0.0397196261682243	0.85	0.09236104885273823
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.11723459939428234
40	null	null	null
41	0.010251630941286114	1	0.07816420173684754
42	0.04523809523809524	0.76	0.14839651349618996
43	0.011121408711770158	0.9230769230769231	0.056056924940879424
44	0.12624254473161034	0.8193548387096774	0.2393560557886703
45	0.07231404958677685	0.9090909090909091	0.1730317971073443
46	0.09302325581395349	1	0.32449068402951925
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.09475673447772842
50	0.10411311053984576	0.9101123595505618	0.3591241545507951
51	null	null	null
52	0.01266891891891892	1	0.39073587063794857
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.1750766641000463
55	0.021686746987951807	1	0.4538360277663743
56	0.03892493049119555	0.9333333333333333	0.10363783744267088
57	0.016666666666666666	0.8888888888888888	0.09923599689350104
58	0.03458646616541353	1	0.2521909524823929
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.03553636292030877
62	0.00980392156862745	0.9166666666666666	0.47765834814354863
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.19653315778266706
66	0.029359430604982206	0.9428571428571428	0.31412141463056553
67	0.024371667936024372	1	0.1377829130128741
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.08257588430827753
70	null	null	null
71	0.020224719101123594	1	0.23479051391033984
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.3732193910441959
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.031509150728564146
80	null	null	null
81	0.008215085884988798	1	0.07002988665207316
82	0.008517887563884156	1	0.11639283521879192
83	null	null	null
84	0.009329940627650551	1	0.03190019225152447
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.11917591073602089
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.05692365012733153
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.08448232394404996
96	0.006389776357827476	0.8888888888888888	0.0109309097193713
97	0.004866180048661801	1	0.03433816713551522
98	0.024734982332155476	0.9655172413793104	0.30738348422724077
99	0.024756189047261814	0.9705882352941176	0.2029315363497047
100	0.01228878648233487	0.8888888888888888	0.01323270958046113
101	0.000784313725490196	1	0.03125
102	0.019433198380566803	1	0.4084511000654351
103	null	null	null
104	0.009151414309484194	1	0.044175987992801896
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.20201150930374115
110	null	null	null
111	0.005123825789923143	1	0.1473729934535019
112	null	null	null
