Settings
TF	Logarithmic TF
IDF	No IDF
Normalisation	No Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.13674414741416338

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.27054218386451134
2	0.027565084226646247	0.6923076923076923	0.0272878456289423
3	0.1836734693877551	0.20454545454545456	0.106906918838737
4	0.016129032258064516	1	0.05379085916783836
5	0.01752021563342318	0.5416666666666666	0.019564802954804433
6	0.00411522633744856	1	1
7	0.007438894792773645	0.875	0.04468992076502143
8	0.02280701754385965	0.7222222222222222	0.019455419838789803
9	0.06201550387596899	0.7058823529411765	0.10398169809985325
10	0.04	0.7307692307692307	0.04839004144791352
11	0.09169054441260745	0.25196850393700787	0.022856298258514703
12	0.014534883720930232	0.7692307692307693	0.051468745489007546
13	0.10586552217453506	0.8131868131868132	0.21401387149751638
14	0.011904761904761904	0.6666666666666666	0.010299848882526047
15	0.08442982456140351	0.9390243902439024	0.18585655471251747
16	0.036619718309859155	0.5	0.02194925754692454
17	0.019067796610169493	0.34615384615384615	0.017529111384102247
18	0.02320185614849188	0.9090909090909091	0.05024777107815224
19	0.11166666666666666	0.8271604938271605	0.21721258467768126
20	0.14112903225806453	0.24305555555555555	0.04656863652799857
21	0.05527638190954774	0.44	0.06881392353353209
22	0.04608294930875576	0.18867924528301888	0.010776694451447019
23	0.05798969072164949	0.9375	0.17788226108259378
24	0.06872852233676977	0.7692307692307693	0.17282790161097222
25	0.1568627450980392	0.7272727272727273	0.2845943666658425
26	0.16165413533834586	0.7678571428571429	0.3569227083268708
27	0.259946949602122	0.8521739130434782	0.3482596678252853
28	0.09691629955947137	0.36666666666666664	0.09488334147868936
29	0.07926829268292683	0.2708333333333333	0.026544766243220816
30	0.3469387755102041	0.5074626865671642	0.3113194533976447
31	0.09246575342465753	0.4426229508196721	0.05766528489495488
32	0.09747606614447346	0.9572649572649573	0.19270942499441363
33	0.02912621359223301	0.75	0.03550671666720365
34	0.04100946372239748	0.34210526315789475	0.08738539810117092
35	0.07434944237918216	0.46511627906976744	0.06947592133857068
36	null	null	null
37	0.0397196261682243	0.85	0.08279132316560747
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.0880301822421054
40	null	null	null
41	0.010251630941286114	1	0.1315195109953665
42	0.04523809523809524	0.76	0.09770604916252455
43	0.011121408711770158	0.9230769230769231	0.04054010235982981
44	0.12624254473161034	0.8193548387096774	0.22590177240146642
45	0.07231404958677685	0.9090909090909091	0.18634026683520796
46	0.09302325581395349	1	0.26537367720456423
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.11662192969980129
50	0.10411311053984576	0.9101123595505618	0.36104979493750494
51	null	null	null
52	0.01266891891891892	1	0.22712208340994466
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.18182442398671442
55	0.021686746987951807	1	0.4429876833998663
56	0.03892493049119555	0.9333333333333333	0.156318626399232
57	0.016666666666666666	0.8888888888888888	0.11697571479720335
58	0.03458646616541353	1	0.2110494732836699
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.030440101722784104
62	0.00980392156862745	0.9166666666666666	0.26765184482088217
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.1541424331843875
66	0.029359430604982206	0.9428571428571428	0.21231141055791566
67	0.024371667936024372	1	0.09779023844140697
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.04730462387373037
70	null	null	null
71	0.020224719101123594	1	0.1703746705451041
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.28317315516418085
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.0275386918071147
80	null	null	null
81	0.008215085884988798	1	0.03784963443747478
82	0.008517887563884156	1	0.0802848445357233
83	null	null	null
84	0.009329940627650551	1	0.03296635589621915
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.09701142724215013
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.06477955328081224
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.044341396714832886
96	0.006389776357827476	0.8888888888888888	0.011986715308996063
97	0.004866180048661801	1	0.014890943196523676
98	0.024734982332155476	0.9655172413793104	0.23543072136165744
99	0.024756189047261814	0.9705882352941176	0.1489288478039014
100	0.01228878648233487	0.8888888888888888	0.018655068116967436
101	0.000784313725490196	1	0.006134969325153374
102	0.019433198380566803	1	0.26988934578395934
103	null	null	null
104	0.009151414309484194	1	0.03895696272146453
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.15734775089960348
110	null	null	null
111	0.005123825789923143	1	0.08204068117909863
112	null	null	null
