Settings
TF	Binary TF
IDF	No IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.10783600267464905

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.08409479389197698
2	0.027565084226646247	0.6923076923076923	0.024109149315212366
3	0.1836734693877551	0.20454545454545456	0.0672318968909878
4	0.016129032258064516	1	0.11660138244258801
5	0.01752021563342318	0.5416666666666666	0.034687051720127725
6	0.00411522633744856	1	0.03333333333333333
7	0.007438894792773645	0.875	0.025854352519103837
8	0.02280701754385965	0.7222222222222222	0.025831587816293397
9	0.06201550387596899	0.7058823529411765	0.1925080943543037
10	0.04	0.7307692307692307	0.07551469040277159
11	0.09169054441260745	0.25196850393700787	0.02394985886973569
12	0.014534883720930232	0.7692307692307693	0.056414450151875885
13	0.10586552217453506	0.8131868131868132	0.18416906090635143
14	0.011904761904761904	0.6666666666666666	0.012120266333749479
15	0.08442982456140351	0.9390243902439024	0.2037798167715643
16	0.036619718309859155	0.5	0.018621384446185232
17	0.019067796610169493	0.34615384615384615	0.04529395746507733
18	0.02320185614849188	0.9090909090909091	0.07016756447802443
19	0.11166666666666666	0.8271604938271605	0.21748293458619877
20	0.14112903225806453	0.24305555555555555	0.03644471023643741
21	0.05527638190954774	0.44	0.020345370095110865
22	0.04608294930875576	0.18867924528301888	0.012909740151540504
23	0.05798969072164949	0.9375	0.13220541603267447
24	0.06872852233676977	0.7692307692307693	0.13615059295744075
25	0.1568627450980392	0.7272727272727273	0.20809035184089866
26	0.16165413533834586	0.7678571428571429	0.2312847905645357
27	0.259946949602122	0.8521739130434782	0.37547589353585004
28	0.09691629955947137	0.36666666666666664	0.11463016697403025
29	0.07926829268292683	0.2708333333333333	0.018909216506997218
30	0.3469387755102041	0.5074626865671642	0.20401702854709888
31	0.09246575342465753	0.4426229508196721	0.10812976886953689
32	0.09747606614447346	0.9572649572649573	0.17962778365515494
33	0.02912621359223301	0.75	0.050905789379406055
34	0.04100946372239748	0.34210526315789475	0.07329730154368899
35	0.07434944237918216	0.46511627906976744	0.06561021765954331
36	null	null	null
37	0.0397196261682243	0.85	0.09971665838920395
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.10543363448881823
40	null	null	null
41	0.010251630941286114	1	0.06656358520531334
42	0.04523809523809524	0.76	0.13467194474544247
43	0.011121408711770158	0.9230769230769231	0.05903587207810942
44	0.12624254473161034	0.8193548387096774	0.18075472453308047
45	0.07231404958677685	0.9090909090909091	0.12019747165548152
46	0.09302325581395349	1	0.27423617788825955
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.11729978073499348
50	0.10411311053984576	0.9101123595505618	0.24469708813987207
51	null	null	null
52	0.01266891891891892	1	0.357584671237909
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.13132629921285358
55	0.021686746987951807	1	0.15980120333507827
56	0.03892493049119555	0.9333333333333333	0.09142736727114595
57	0.016666666666666666	0.8888888888888888	0.06178515298464679
58	0.03458646616541353	1	0.1688706769712484
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.02474956801557006
62	0.00980392156862745	0.9166666666666666	0.32494262924989253
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.04642665665819897
66	0.029359430604982206	0.9428571428571428	0.1959474120242947
67	0.024371667936024372	1	0.18137035899597406
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.024885745708428386
70	null	null	null
71	0.020224719101123594	1	0.16696859584908538
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.24390437773943233
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.03048539918623042
80	null	null	null
81	0.008215085884988798	1	0.06448976921625343
82	0.008517887563884156	1	0.01781623315294736
83	null	null	null
84	0.009329940627650551	1	0.020193509348829748
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.08746819223010793
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.03451162500335408
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.03240648921940034
96	0.006389776357827476	0.8888888888888888	0.012077021625022118
97	0.004866180048661801	1	0.03433939828374272
98	0.024734982332155476	0.9655172413793104	0.22364973049362905
99	0.024756189047261814	0.9705882352941176	0.09581185758415828
100	0.01228878648233487	0.8888888888888888	0.01250072169982091
101	0.000784313725490196	1	0.013333333333333334
102	0.019433198380566803	1	0.18252118203498957
103	null	null	null
104	0.009151414309484194	1	0.0606177526295508
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.17637062981066462
110	null	null	null
111	0.005123825789923143	1	0.03454594006355292
112	null	null	null
