Settings
TF	Raw TF
IDF	Using IDF
Normalisation	Using Normalisation
Stemming	Using Stemming

Averages
Precision	0.0514700321902083
Recall	0.8069087909216033
Non-Interpolated Average Precision	0.1439111087265

Query Number	Precision	Recall	Non-Interpolated Average Precision
1	0.047619047619047616	0.9347826086956522	0.37628158321205163
2	0.027565084226646247	0.6923076923076923	0.02566145015528879
3	0.1836734693877551	0.20454545454545456	0.14061256851637977
4	0.016129032258064516	1	0.07620875583887263
5	0.01752021563342318	0.5416666666666666	0.02143777430956799
6	0.00411522633744856	1	0.14285714285714285
7	0.007438894792773645	0.875	0.011913592009450519
8	0.02280701754385965	0.7222222222222222	0.024066286172107584
9	0.06201550387596899	0.7058823529411765	0.12752905798663672
10	0.04	0.7307692307692307	0.056535049940596105
11	0.09169054441260745	0.25196850393700787	0.02138148192085191
12	0.014534883720930232	0.7692307692307693	0.13339014843984046
13	0.10586552217453506	0.8131868131868132	0.23745807696303328
14	0.011904761904761904	0.6666666666666666	0.007384450566268748
15	0.08442982456140351	0.9390243902439024	0.14920560218581844
16	0.036619718309859155	0.5	0.01841556615013725
17	0.019067796610169493	0.34615384615384615	0.009022010123302228
18	0.02320185614849188	0.9090909090909091	0.07648408777452548
19	0.11166666666666666	0.8271604938271605	0.18109761121986842
20	0.14112903225806453	0.24305555555555555	0.059043442638076
21	0.05527638190954774	0.44	0.022153693733155136
22	0.04608294930875576	0.18867924528301888	0.019268968418050973
23	0.05798969072164949	0.9375	0.14328149022320583
24	0.06872852233676977	0.7692307692307693	0.1453504978099211
25	0.1568627450980392	0.7272727272727273	0.26338675990625887
26	0.16165413533834586	0.7678571428571429	0.36785983238842773
27	0.259946949602122	0.8521739130434782	0.3578435421056144
28	0.09691629955947137	0.36666666666666664	0.0711704984934868
29	0.07926829268292683	0.2708333333333333	0.016692574975031686
30	0.3469387755102041	0.5074626865671642	0.3553843459395618
31	0.09246575342465753	0.4426229508196721	0.06193436433843282
32	0.09747606614447346	0.9572649572649573	0.15510753494139684
33	0.02912621359223301	0.75	0.02257251023646279
34	0.04100946372239748	0.34210526315789475	0.07413936441678186
35	0.07434944237918216	0.46511627906976744	0.05702773182916481
36	null	null	null
37	0.0397196261682243	0.85	0.09400024374929679
38	null	null	null
39	0.014938488576449912	0.9444444444444444	0.10551260925244955
40	null	null	null
41	0.010251630941286114	1	0.030267271591166853
42	0.04523809523809524	0.76	0.0959945027166943
43	0.011121408711770158	0.9230769230769231	0.04155064390188993
44	0.12624254473161034	0.8193548387096774	0.263400710252533
45	0.07231404958677685	0.9090909090909091	0.1711010857970383
46	0.09302325581395349	1	0.2193779384558129
47	null	null	null
48	null	null	null
49	0.02702702702702703	0.9117647058823529	0.07117081710602943
50	0.10411311053984576	0.9101123595505618	0.41384632371204055
51	null	null	null
52	0.01266891891891892	1	0.31825547920259467
53	null	null	null
54	0.062087186261558784	0.9215686274509803	0.18282148733377945
55	0.021686746987951807	1	0.4743305205883148
56	0.03892493049119555	0.9333333333333333	0.09359560986368048
57	0.016666666666666666	0.8888888888888888	0.1203506428390721
58	0.03458646616541353	1	0.20001602689238815
59	null	null	null
60	null	null	null
61	0.011853448275862068	1	0.0789434654928841
62	0.00980392156862745	0.9166666666666666	0.4209116415439383
63	null	null	null
64	null	null	null
65	0.010942760942760943	1	0.2115440553299922
66	0.029359430604982206	0.9428571428571428	0.27672696013203785
67	0.024371667936024372	1	0.09146871814254773
68	null	null	null
69	0.01046337817638266	0.9333333333333333	0.11333581551183072
70	null	null	null
71	0.020224719101123594	1	0.1593667590580447
72	null	null	null
73	null	null	null
74	null	null	null
75	null	null	null
76	0.04854368932038835	1	0.2807264696668855
77	null	null	null
78	null	null	null
79	0.008912655971479501	0.9090909090909091	0.027002758627795068
80	null	null	null
81	0.008215085884988798	1	0.21161491567074656
82	0.008517887563884156	1	0.2765252270812619
83	null	null	null
84	0.009329940627650551	1	0.03973794103350203
85	null	null	null
86	null	null	null
87	null	null	null
88	null	null	null
89	null	null	null
90	0.04878048780487805	0.9714285714285714	0.11268382305766374
91	null	null	null
92	0.029535864978902954	0.7368421052631579	0.09799419429464935
93	null	null	null
94	null	null	null
95	0.009409751924721984	1	0.058877796315321036
96	0.006389776357827476	0.8888888888888888	0.010656055296054368
97	0.004866180048661801	1	0.03459201148573663
98	0.024734982332155476	0.9655172413793104	0.32329052281890697
99	0.024756189047261814	0.9705882352941176	0.2321660194593839
100	0.01228878648233487	0.8888888888888888	0.01070834255024395
101	0.000784313725490196	1	0.011494252873563218
102	0.019433198380566803	1	0.3521110097793281
103	null	null	null
104	0.009151414309484194	1	0.05101602576931331
105	null	null	null
106	null	null	null
107	null	null	null
108	null	null	null
109	0.052233156699470096	0.971830985915493	0.1559933680758174
110	null	null	null
111	0.005123825789923143	1	0.3730047521570013
112	null	null	null
